recipient,party,party_source,from_crypto_native,native_items,from_diversified_core,diversified_items,name_variants_combined
Rep. Linda Sanchez,,,0.0,0,125000.0,58,1
Democratic National Committee,,,0.0,0,123902.0,45,1
Rep. Guy Reschenthaler (R-PA),(R-PA),members-table,0.0,0,123000.0,43,2
NRCC Building Fund,,,0.0,0,120000.0,3,1
Members Of The Chc,,,0.0,0,120000.0,3,1
Rep. Bradley Scott Schneider (D-IL),(D-IL),members-table,5500.0,5,109500.0,42,3
"Ghada Ijam, Cio Of Federal Reserve",,,0.0,0,115000.0,1,1
Board Member - Ghada Ijam,,,0.0,0,115000.0,1,1
Federal Reserve Bank Of Richmond - Ghada Ijam,,,0.0,0,115000.0,1,1
Rep. Barry Loudermilk (R-GA),(R-GA),members-table,0.0,0,114550.0,52,2
Rep. Mike Flood (R-NE),(R-NE),members-table,6800.0,4,99500.0,42,2
Rep. Zachary Nunn (R-IA),(R-IA),members-table,1000.0,1,104000.0,53,1
Rep. W. Blaine Luetkemeyer,,,0.0,0,105000.0,34,1
Us Dept Of Customs And Border Protection Gordon Harmon,,,0.0,0,105000.0,1,1
Rep. Vern Buchanan (R-FL),(R-FL),members-table,0.0,0,102090.0,29,1
Sen. Cynthia M. Lummis (R-WY),(R-WY),members-table,45500.0,14,56000.0,21,5
Brad Schneider,,,1000.0,1,100000.0,40,1
"Board Members - Martin Gruenberg, Fdic Fed Gov; Michelle W. Bowman, Fed Res Fed Gov; Grovetta Gardineer, Occ Fed Gov; Rodney E Hood, Nat Cred Union Adm, Fed G; Adrianne Todman, Hud Fed Gov",,,0.0,0,100000.0,1,1
"Sponsorship Of The Program ""From Her Lens: Perspectives On Race""",,,0.0,0,100000.0,1,1
Sponsorship Of The Gershwin Prize For Popular Song Event,,,0.0,0,100000.0,1,1
Us Dept. Of Justice - Shina Majeed,,,0.0,0,100000.0,1,1
Sponsorship Of The Women'S E3 Summit (Payment 1 Of 2),,,0.0,0,100000.0,1,1
"Martin Gruenberg Fdic Chairman, Rodney E. Hood National Credit Union Administration, Grovetta Gardineer Office Of The Comptroller Of The Currency, Adrianne Todman U.S. Dept Of Housing And Ud",,,0.0,0,100000.0,1,1
