display_row,giver_slice,recipient_raw,ld203_filer_org,filer_type,contributor_name,date,amount,contribution_type,n_amendment_versions,filing_uuid,lda_public_url
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,FMR LLC,organization,FMR LLC POLITICAL ACTION COMMITTEE - FEDERAL (FIDELITY PAC),2023-12-18,2500,feca,2,384d4565-5c0b-4a47-b6f4-fb0aacb1bb1c,https://lda.senate.gov/filings/public/contribution/384d4565-5c0b-4a47-b6f4-fb0aacb1bb1c/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN BILL HAGERTY,THE PNC FINANCIAL SERVICES GROUP,organization,BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP INC PNC PAC,2023-12-19,2500,feca,1,8da234a0-a2dc-4986-8514-c59a6d3d4ce5,https://lda.senate.gov/filings/public/contribution/8da234a0-a2dc-4986-8514-c59a6d3d4ce5/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,NATIONAL VENTURE CAPITAL ASSOCIATION,organization,NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC,2024-02-16,2500,feca,1,f0ee9758-47cb-4012-b092-ed5eabf404a2,https://lda.senate.gov/filings/public/contribution/f0ee9758-47cb-4012-b092-ed5eabf404a2/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,JPMORGAN CHASE HOLDINGS LLC,organization,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2024-03-20,2500,feca,1,99cac757-fa18-493c-b6cb-c83084036289,https://lda.senate.gov/filings/public/contribution/99cac757-fa18-493c-b6cb-c83084036289/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,AMAZON.COM SERVICES LLC,organization,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2024-03-28,2500,feca,1,59b18ae4-0b3d-4bc5-9e05-94eea720d928,https://lda.senate.gov/filings/public/contribution/59b18ae4-0b3d-4bc5-9e05-94eea720d928/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MORGAN STANLEY & CO. LLC,organization,MORGAN STANLEY POLITICAL ACTION COMMITTEE,2024-04-12,2500,feca,1,219e94a4-7bbc-47f2-b1a7-8e63a990eb81,https://lda.senate.gov/filings/public/contribution/219e94a4-7bbc-47f2-b1a7-8e63a990eb81/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,LONDON STOCK EXCHANGE GROUP,organization,LSEG US HOLDCO INC. PAC,2024-04-30,2500,feca,1,2c0e4b35-2890-461e-b1ea-1ac7ca6eeaef,https://lda.senate.gov/filings/public/contribution/2c0e4b35-2890-461e-b1ea-1ac7ca6eeaef/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MORGAN STANLEY & CO. LLC,organization,MORGAN STANLEY POLITICAL ACTION COMMITTEE,2024-05-21,2500,feca,1,219e94a4-7bbc-47f2-b1a7-8e63a990eb81,https://lda.senate.gov/filings/public/contribution/219e94a4-7bbc-47f2-b1a7-8e63a990eb81/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MELLON FINANCIAL SERVICES CORPORATION #1,organization,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,2024-06-05,2500,feca,1,558a168e-a95b-44cd-b4b6-983079509522,https://lda.senate.gov/filings/public/contribution/558a168e-a95b-44cd-b4b6-983079509522/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,"CITIGROUP WASHINGTON, INC.",organization,CITIGROUP INC. PAC - FEDERAL,2024-06-05,2500,feca,1,bee40d31-1b8f-4870-9a13-dbd73aa8de0d,https://lda.senate.gov/filings/public/contribution/bee40d31-1b8f-4870-9a13-dbd73aa8de0d/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MELLON FINANCIAL SERVICES CORPORATION #1,organization,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,2024-08-14,2500,feca,1,a9684bce-595b-4af8-851d-ecd46b5ae0ad,https://lda.senate.gov/filings/public/contribution/a9684bce-595b-4af8-851d-ecd46b5ae0ad/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,AMAZON.COM SERVICES LLC,organization,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2024-09-18,2500,feca,1,1b686c94-d6a9-4126-8e3e-cc92e67764e5,https://lda.senate.gov/filings/public/contribution/1b686c94-d6a9-4126-8e3e-cc92e67764e5/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),organization,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. PAC)",2024-09-19,2500,feca,1,8350176c-e474-447b-9e20-560247b01f8a,https://lda.senate.gov/filings/public/contribution/8350176c-e474-447b-9e20-560247b01f8a/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,LONDON STOCK EXCHANGE GROUP,organization,LSEG US HOLDCO INC. PAC,2024-10-21,2500,feca,2,30436989-89e9-4b66-b216-bbf8871f8759,https://lda.senate.gov/filings/public/contribution/30436989-89e9-4b66-b216-bbf8871f8759/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,"CITIGROUP WASHINGTON, INC.",organization,CITIGROUP INC. PAC - FEDERAL,2024-10-28,2500,feca,1,b2c5b4d7-0e5c-4061-88b5-dfc2cf3d66a8,https://lda.senate.gov/filings/public/contribution/b2c5b4d7-0e5c-4061-88b5-dfc2cf3d66a8/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN BILL HAGERTY,AMERICAN BANKERS ASSOCIATION,organization,AMERICAN BANKERS ASSOCIATION PAC BANKPAC,2025-02-27,2500,feca,1,3b59d0c1-3f93-4da9-be3b-f16be44da9dd,https://lda.senate.gov/filings/public/contribution/3b59d0c1-3f93-4da9-be3b-f16be44da9dd/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,organization,AMERICA'S CREDIT UNIONS PAC,2025-02-28,2500,feca,1,6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.senate.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN BILL HAGERTY,"CBOE GLOBAL MARKETS, INC.",organization,CBOE GLOBAL MARKETS INC PAC CBOE PAC,2025-03-14,2500,feca,1,9e49d941-f13c-407f-925a-a008933638f8,https://lda.senate.gov/filings/public/contribution/9e49d941-f13c-407f-925a-a008933638f8/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,"CME GROUP, INC.",organization,CME GROUP INC. PAC,2025-03-19,2500,feca,1,bf0b1168-83ce-40e7-8bfc-68936c45eb41,https://lda.senate.gov/filings/public/contribution/bf0b1168-83ce-40e7-8bfc-68936c45eb41/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,AMERICAN EXPRESS COMPANY,organization,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC),2025-03-25,2500,feca,1,8d2d1976-e5f1-424b-a470-a287f88964b1,https://lda.senate.gov/filings/public/contribution/8d2d1976-e5f1-424b-a470-a287f88964b1/print/
