quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2023-Q3,hire,CARMEN GROUP INCORPORATED,Cross River Bank,150000,c6df8a1d-0dbc-44a1-91d8-7a0011bad030,https://lda.senate.gov/filings/public/filing/c6df8a1d-0dbc-44a1-91d8-7a0011bad030/print/
2023-Q3,hire,SIDLEY AUSTIN LLP,HINDALCO INDUSTRIES LTD.,150000,5f7dea2c-7e0c-4bbd-b23a-e9602815fb12,https://lda.senate.gov/filings/public/filing/5f7dea2c-7e0c-4bbd-b23a-e9602815fb12/print/
2023-Q3,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","LAKE CHARLES EXPORTS, LLC",150000,960abbac-eafc-48ae-9d05-634fa6174dc7,https://lda.senate.gov/filings/public/filing/960abbac-eafc-48ae-9d05-634fa6174dc7/print/
2023-Q3,hire,KLEIN/JOHNSON GROUP,"Air Products and Chemicals, Inc.",110000,6fc358d6-7861-48ba-a75f-04d2a0e5999b,https://lda.senate.gov/filings/public/filing/6fc358d6-7861-48ba-a75f-04d2a0e5999b/print/
2023-Q3,hire,"MERCURY PUBLIC AFFAIRS, LLC",ENDEAVOR ENERGY HOLDINGS LLC,110000,809d549a-5b25-406a-a1f1-6199605aab44,https://lda.senate.gov/filings/public/filing/809d549a-5b25-406a-a1f1-6199605aab44/print/
2023-Q3,hire,STONINGTON GLOBAL,PYLE USA SOUND AROUND INC,110000,7e238734-fabc-45f2-8fe0-3296ccd002cb,https://lda.senate.gov/filings/public/filing/7e238734-fabc-45f2-8fe0-3296ccd002cb/print/
2023-Q3,hire,"MERCURY PUBLIC AFFAIRS, LLC",CAMEL ENERGY INC.,100000,19782863-7aaf-47c6-a6e9-5f1c19d1fc37,https://lda.senate.gov/filings/public/filing/19782863-7aaf-47c6-a6e9-5f1c19d1fc37/print/
2023-Q3,hire,CROWELL & MORING LLP,Invenergy LLC,100000,f62a923d-33e4-4c27-8956-679b46e910d8,https://lda.senate.gov/filings/public/filing/f62a923d-33e4-4c27-8956-679b46e910d8/print/
2023-Q3,hire,THE MADISON GROUP,Bally's Corporation,90000,be28002f-1d5b-494e-b41e-2b340e4cccb8,https://lda.senate.gov/filings/public/filing/be28002f-1d5b-494e-b41e-2b340e4cccb8/print/
2023-Q3,hire,THE MADISON GROUP,Novo Nordisk Inc.,90000,6d06f2ff-551e-47a7-b645-7aa8da0a2335,https://lda.senate.gov/filings/public/filing/6d06f2ff-551e-47a7-b645-7aa8da0a2335/print/
