quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2024-Q1,term,CARMEN GROUP INCORPORATED,Airspan Networks Inc.,327000,79ccd88d-727e-47bb-b8a9-14358642ffbc,https://lda.senate.gov/filings/public/filing/79ccd88d-727e-47bb-b8a9-14358642ffbc/print/
2024-Q1,term,"BALLARD PARTNERS, LLC","ERC MODULAR INC., A DELAWARE CORP.",320000,da43bd03-7724-4226-8044-5a28bc1e89f5,https://lda.senate.gov/filings/public/filing/da43bd03-7724-4226-8044-5a28bc1e89f5/print/
2024-Q1,term,RICCHETTI INCORPORATED,"Horizon Therapeutics USA, Inc.",320000,bccd0ab8-42e6-4179-bdbc-7605735fc075,https://lda.senate.gov/filings/public/filing/bccd0ab8-42e6-4179-bdbc-7605735fc075/print/
2024-Q1,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","JETTI RESOURCES, LLC",320000,9f077bd4-51c9-4734-8e42-cdd49c166926,https://lda.senate.gov/filings/public/filing/9f077bd4-51c9-4734-8e42-cdd49c166926/print/
2024-Q1,term,"CGCN GROUP, LLC",American Petroleum Institute,300000,b51b36ff-49a0-46e8-8495-46c6e8d49a52,https://lda.senate.gov/filings/public/filing/b51b36ff-49a0-46e8-8495-46c6e8d49a52/print/
2024-Q1,term,AKIN GUMP STRAUSS HAUER & FELD,Hesai Group,300000,bbcbbae6-4763-4663-9a47-fa52d5ab9b16,https://lda.senate.gov/filings/public/filing/bbcbbae6-4763-4663-9a47-fa52d5ab9b16/print/
2024-Q1,term,CRESTVIEW STRATEGY US LLC,Teck Resources Limited,300000,53bf5bc8-98da-4c7d-9569-bdf9aa82ccf8,https://lda.senate.gov/filings/public/filing/53bf5bc8-98da-4c7d-9569-bdf9aa82ccf8/print/
2024-Q1,term,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,Ballad Health,290000,98b9eac9-067d-427b-b7ee-6ecebce334ed,https://lda.senate.gov/filings/public/filing/98b9eac9-067d-427b-b7ee-6ecebce334ed/print/
2024-Q1,term,KING & SPALDING LLP,Honduras Prospera Inc.,290000,4fa3c915-8cc7-40b2-bfbb-70986ef4cf88,https://lda.senate.gov/filings/public/filing/4fa3c915-8cc7-40b2-bfbb-70986ef4cf88/print/
2024-Q1,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",NISKANEN CENTER FOR PUBLIC POLICY,290000,eaab52b7-ff32-411d-956c-0518ced7e8ae,https://lda.senate.gov/filings/public/filing/eaab52b7-ff32-411d-956c-0518ced7e8ae/print/
2024-Q1,term,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,National Association of Community Health Centers,290000,66b94d9a-0d3c-43b3-a0c8-4c5bec06d551,https://lda.senate.gov/filings/public/filing/66b94d9a-0d3c-43b3-a0c8-4c5bec06d551/print/
2024-Q1,term,CARMEN GROUP INCORPORATED,QUALTEK LLC,290000,3424a23e-45c7-4819-826f-02d251f040fe,https://lda.senate.gov/filings/public/filing/3424a23e-45c7-4819-826f-02d251f040fe/print/
2024-Q1,term,VENN STRATEGIES,"RADIUS RECYCLING (FORMERLY KNOWN AS SCHNITZER STEEL INDUSTRIES, INC.)",290000,3c35aa5d-4cd7-4c4e-b8ff-1f7adc5a8bbd,https://lda.senate.gov/filings/public/filing/3c35aa5d-4cd7-4c4e-b8ff-1f7adc5a8bbd/print/
2024-Q1,term,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,"Stride, Inc.",290000,55788888-c759-4819-97ea-b622504b0da5,https://lda.senate.gov/filings/public/filing/55788888-c759-4819-97ea-b622504b0da5/print/
2024-Q1,term,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",The Boeing Company,290000,ecd01748-cf24-4347-bcae-57d6af7a68ac,https://lda.senate.gov/filings/public/filing/ecd01748-cf24-4347-bcae-57d6af7a68ac/print/
2024-Q1,term,AKIN GUMP STRAUSS HAUER & FELD,"Amazon Corporate, LLC",280000,ee1bd820-f695-4904-afdc-0f39a2768c82,https://lda.senate.gov/filings/public/filing/ee1bd820-f695-4904-afdc-0f39a2768c82/print/
2024-Q1,term,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,American Health Care Association,280000,973ba6d4-61b0-46a3-b535-2635814c0fb7,https://lda.senate.gov/filings/public/filing/973ba6d4-61b0-46a3-b535-2635814c0fb7/print/
2024-Q1,term,IMPACT HEALTH POLICY PARTNERS,"SUMITOMO PHARMA AMERICA (FORMERLY SUNOVION PHARMACEUTICALS, INC.)",280000,176f4b67-ec8c-493b-87c1-084efff54709,https://lda.senate.gov/filings/public/filing/176f4b67-ec8c-493b-87c1-084efff54709/print/
2024-Q1,term,NELSON MULLINS RILEY & SCARBOROUGH,The Federation of Bangladesh Chambers of Commerce and Industry,275000,92039772-2deb-4d61-a20b-c433e32bde49,https://lda.senate.gov/filings/public/filing/92039772-2deb-4d61-a20b-c433e32bde49/print/
2024-Q1,term,MICHAEL BEST STRATEGIES LLC,ExxonMobil Corporation,270000,bb810b5a-9186-4fb7-aa52-5d67a97a0b55,https://lda.senate.gov/filings/public/filing/bb810b5a-9186-4fb7-aa52-5d67a97a0b55/print/
2024-Q2,hire,"THIRDCIRCLE, INC.",Yandex N.V.,500000,f325c3a1-43b8-4d1a-af50-2d90701f6754,https://lda.senate.gov/filings/public/filing/f325c3a1-43b8-4d1a-af50-2d90701f6754/print/
2024-Q2,hire,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",NEBIUS GROUP N.V. (FKA YANDEX N.V.),200000,e9ab565e-a1e4-458c-887e-7026ff44ea69,https://lda.senate.gov/filings/public/filing/e9ab565e-a1e4-458c-887e-7026ff44ea69/print/
2024-Q2,hire,IGGY VENTURES LLC,TikTok Coalition,200000,8506146d-8591-4c33-87ff-05a0935ee75c,https://lda.senate.gov/filings/public/filing/8506146d-8591-4c33-87ff-05a0935ee75c/print/
2024-Q2,hire,THE MADISON GROUP,MTN (Dubai) Limited,180000,c92efc6d-cf14-4aa9-83c9-f56a387d0719,https://lda.senate.gov/filings/public/filing/c92efc6d-cf14-4aa9-83c9-f56a387d0719/print/
2024-Q2,hire,HOGAN LOVELLS US LLP,MAIN STREET SPORTS GROUP DBA FANDUEL SPORTS NETWORK,150000,9ec611e1-ff7c-453d-bcf4-4dc6ba265ab7,https://lda.senate.gov/filings/public/filing/9ec611e1-ff7c-453d-bcf4-4dc6ba265ab7/print/
2024-Q2,hire,"HARBINGER STRATEGIES, LLC",Northwestern University,150000,acb93c95-956a-4319-a6b6-923b40a7cfcc,https://lda.senate.gov/filings/public/filing/acb93c95-956a-4319-a6b6-923b40a7cfcc/print/
2024-Q2,hire,AKIN GUMP STRAUSS HAUER & FELD,"STACK INFRASTRUCTURE, INC.",150000,d6ac16d6-c92a-41cc-88ad-0d5a27ed59be,https://lda.senate.gov/filings/public/filing/d6ac16d6-c92a-41cc-88ad-0d5a27ed59be/print/
2024-Q2,hire,FTI GOVERNMENT AFFAIRS,Hayel Saeed Anam Group of Companies,140000,6309b8ae-56ee-447c-8889-89434405be7b,https://lda.senate.gov/filings/public/filing/6309b8ae-56ee-447c-8889-89434405be7b/print/
2024-Q2,hire,"BALLARD PARTNERS, LLC",EXTREMITY CARE LLC,130000,a2adfb63-98cf-4056-a6c2-271499a4ec8d,https://lda.senate.gov/filings/public/filing/a2adfb63-98cf-4056-a6c2-271499a4ec8d/print/
2024-Q2,hire,HOGAN LOVELLS US LLP,LEGEND BIOTECH CORPORATION,120000,62313103-55e7-44d3-8a0d-5924356d0d8f,https://lda.senate.gov/filings/public/filing/62313103-55e7-44d3-8a0d-5924356d0d8f/print/
2024-Q2,hire,"MEHLMAN CONSULTING, INC.",SEMICONDUCTOR TECHNOLOGY LEADERSHIP COUNCIL,120000,44ed9f77-d6a7-4ba8-88c6-c6228f910ff5,https://lda.senate.gov/filings/public/filing/44ed9f77-d6a7-4ba8-88c6-c6228f910ff5/print/
2024-Q2,hire,FORBES-TATE,SHEIN Technology LLC,120000,1a6ff8f8-a18d-40f5-b075-16e05bc96ead,https://lda.senate.gov/filings/public/filing/1a6ff8f8-a18d-40f5-b075-16e05bc96ead/print/
2024-Q2,hire,"MERCURY PUBLIC AFFAIRS, LLC",UNITED CEMENT GROUP,120000,b3350c35-08ad-4786-982f-39d7b961c4dd,https://lda.senate.gov/filings/public/filing/b3350c35-08ad-4786-982f-39d7b961c4dd/print/
2024-Q2,hire,DLA PIPER LLP (US),"YULCHON, LLC (FOR LG ENERGY SOLUTION, LTD. AND HANWHA SOLUTIONS CORP.)",120000,35201c0a-391c-489e-8be1-662619b0db93,https://lda.senate.gov/filings/public/filing/35201c0a-391c-489e-8be1-662619b0db93/print/
2024-Q2,hire,"GIBSON, DUNN & CRUTCHER LLP",VICTIMS OF TERRORISM - IRAQ IED,116000,78ebb252-2713-4319-af17-5a1aa7009df9,https://lda.senate.gov/filings/public/filing/78ebb252-2713-4319-af17-5a1aa7009df9/print/
2024-Q2,hire,TIBER CREEK GROUP,ANDRETTI FORMULA RACING LLC,110000,ae2d0d2f-760b-4ad9-9cf0-4255bf0db07c,https://lda.senate.gov/filings/public/filing/ae2d0d2f-760b-4ad9-9cf0-4255bf0db07c/print/
2024-Q2,hire,FORBES-TATE,SAFE AND ETHICAL PPE ACCESS ALLIANCE,110000,f8c00b17-88c7-4010-8cc5-52f1bf70d0ab,https://lda.senate.gov/filings/public/filing/f8c00b17-88c7-4010-8cc5-52f1bf70d0ab/print/
2024-Q2,hire,SIDLEY AUSTIN LLP,LifeScience Logistics,100000,0bf6b37e-3d04-4d5d-a3c5-7c3ee0ee8114,https://lda.senate.gov/filings/public/filing/0bf6b37e-3d04-4d5d-a3c5-7c3ee0ee8114/print/
2024-Q2,hire,VARNUM STREET STRATEGIES,Benworth Capital,90000,718e5973-bf19-494a-90b6-96824af8d02f,https://lda.senate.gov/filings/public/filing/718e5973-bf19-494a-90b6-96824af8d02f/print/
2024-Q2,hire,"MEHLMAN CONSULTING, INC.","Elevance Health, Inc.",90000,dddc2b4e-5f4f-4a00-b2ac-9d5d0329708d,https://lda.senate.gov/filings/public/filing/dddc2b4e-5f4f-4a00-b2ac-9d5d0329708d/print/
2024-Q2,hire,PILLSBURY WINTHROP SHAW PITTMAN LLP,GEORGE WASHINGTON UNIVERSITY,90000,5d5de22a-7e96-4b0f-87e3-62aa09540abd,https://lda.senate.gov/filings/public/filing/5d5de22a-7e96-4b0f-87e3-62aa09540abd/print/
2024-Q2,hire,HOLLAND & KNIGHT LLP,HEART AEROSPACE AB,90000,22a4ac49-3d6a-491e-aa7f-b4f5dae85691,https://lda.senate.gov/filings/public/filing/22a4ac49-3d6a-491e-aa7f-b4f5dae85691/print/
2024-Q2,hire,KYLE HOUSE GROUP,Malnutrition Advocacy Fund,90000,b8c9b84e-9141-40ab-9f42-30dd5c827ef4,https://lda.senate.gov/filings/public/filing/b8c9b84e-9141-40ab-9f42-30dd5c827ef4/print/
2024-Q2,hire,PRIME POLICY GROUP,SAVERGLASS INC.,90000,5ccbccf5-b9db-4e9c-8108-fd535f927338,https://lda.senate.gov/filings/public/filing/5ccbccf5-b9db-4e9c-8108-fd535f927338/print/
2024-Q2,hire,AKIN GUMP STRAUSS HAUER & FELD,TP-LINK SYSTEMS INC. (FKA TP-LINK GLOBAL INC.),90000,13b9911f-5385-42ac-8764-0ee334abdf4e,https://lda.senate.gov/filings/public/filing/13b9911f-5385-42ac-8764-0ee334abdf4e/print/
2024-Q2,hire,MCDERMOTT+ LLC,ZELIS,90000,fc76912f-443c-4e49-857b-c79384b6b8dc,https://lda.senate.gov/filings/public/filing/fc76912f-443c-4e49-857b-c79384b6b8dc/print/
2024-Q2,hire,THE VOGEL GROUP,"HYGIEIA INDOORS, LLC",85000,54938f84-88c1-407f-bfa5-1a114396edb5,https://lda.senate.gov/filings/public/filing/54938f84-88c1-407f-bfa5-1a114396edb5/print/
2024-Q2,hire,"TARPLIN, DOWNS & YOUNG, LLC",AVAILITY,80000,4fcfd67e-c0f8-477a-8f75-56c0df8b881f,https://lda.senate.gov/filings/public/filing/4fcfd67e-c0f8-477a-8f75-56c0df8b881f/print/
2024-Q2,hire,COLTON STREET GROUP,Americans United Against Harassment and Discrimination,80000,8246bd02-3d7e-4bcc-95e9-b6d77b6730b8,https://lda.senate.gov/filings/public/filing/8246bd02-3d7e-4bcc-95e9-b6d77b6730b8/print/
2024-Q2,hire,"TARPLIN, DOWNS & YOUNG, LLC","Astellas Pharma US, Inc.",80000,cc62d20d-a3d9-42cc-a6c0-fb7857535935,https://lda.senate.gov/filings/public/filing/cc62d20d-a3d9-42cc-a6c0-fb7857535935/print/
2024-Q2,term,"MERCURY PUBLIC AFFAIRS, LLC",CORAL ENERGY,940000,94381b5e-08b6-44d5-a421-1761179a5e70,https://lda.senate.gov/filings/public/filing/94381b5e-08b6-44d5-a421-1761179a5e70/print/
2024-Q2,term,THE VOGEL GROUP,INNOVATION REFUNDS LLC,533500,948c08da-2218-4756-8a39-13a469448d5f,https://lda.senate.gov/filings/public/filing/948c08da-2218-4756-8a39-13a469448d5f/print/
2024-Q2,term,"CAPITOL CITY GROUP, LTD.",Esquel Enterprises Limited,450000,99fafae8-175e-47b1-9c50-e95459e96f2e,https://lda.senate.gov/filings/public/filing/99fafae8-175e-47b1-9c50-e95459e96f2e/print/
2024-Q2,term,"BALLARD PARTNERS, LLC","RENEWABLE ENERGY AGGREGATORS, INC.",400000,b55339f5-05f6-4ca1-93e5-026dfc23cd01,https://lda.senate.gov/filings/public/filing/b55339f5-05f6-4ca1-93e5-026dfc23cd01/print/
2024-Q2,term,"ALPINE GROUP PARTNERS, LLC.",The Blackstone Group,400000,9579a5f3-2a60-43c9-a10a-1787d0c6fdee,https://lda.senate.gov/filings/public/filing/9579a5f3-2a60-43c9-a10a-1787d0c6fdee/print/
2024-Q2,term,RUSHMORE STRATEGIC ADVISORS LLC,KIRIL DOMUSCHIEV AND GEORGI DOMUSCHIEV,360000,67317a59-2040-45ae-a7bc-792fe0e71bae,https://lda.senate.gov/filings/public/filing/67317a59-2040-45ae-a7bc-792fe0e71bae/print/
2024-Q2,term,AKIN GUMP STRAUSS HAUER & FELD,American Council of Life Insurers,350000,d29cc3fb-24a3-4757-a7f5-532a4eac6627,https://lda.senate.gov/filings/public/filing/d29cc3fb-24a3-4757-a7f5-532a4eac6627/print/
2024-Q2,term,BGR GOVERNMENT AFFAIRS,EMBASSY OF THE KINGDOM OF BAHRAIN TO THE UNITED STATES,330000,1be32301-8051-43da-9f46-8ae60352af13,https://lda.senate.gov/filings/public/filing/1be32301-8051-43da-9f46-8ae60352af13/print/
2024-Q2,term,AKIN GUMP STRAUSS HAUER & FELD,"Verizon Communications, Inc.",330000,dde1bef2-ed07-4042-bed9-e8d4238c1aae,https://lda.senate.gov/filings/public/filing/dde1bef2-ed07-4042-bed9-e8d4238c1aae/print/
2024-Q2,term,POTOMAC PARTNERS DC,CALOPTIMA,324000,ae81aa34-e30e-4b69-8f17-ce8efa3fb799,https://lda.senate.gov/filings/public/filing/ae81aa34-e30e-4b69-8f17-ce8efa3fb799/print/
2024-Q2,term,"ACTUM I, LLC",ADVANCING COMMUNITY VALUES,290000,91f33c6b-ebfc-4768-a16b-12011d9b0067,https://lda.senate.gov/filings/public/filing/91f33c6b-ebfc-4768-a16b-12011d9b0067/print/
2024-Q2,term,IUS IMPACT LLC,Coalition Against Unjust Sentencing,290000,2dc3fae8-260d-4419-81dd-c8c3f216422f,https://lda.senate.gov/filings/public/filing/2dc3fae8-260d-4419-81dd-c8c3f216422f/print/
2024-Q2,term,S-3 GROUP,Keller Postman LLC,290000,f9450350-a483-4611-9cfd-cb4b9b54b9b6,https://lda.senate.gov/filings/public/filing/f9450350-a483-4611-9cfd-cb4b9b54b9b6/print/
2024-Q2,term,AKIN GUMP STRAUSS HAUER & FELD,"Koch Government Affairs, LLC",290000,f8067ee9-756e-4acc-bb64-9b83af5c0a0b,https://lda.senate.gov/filings/public/filing/f8067ee9-756e-4acc-bb64-9b83af5c0a0b/print/
2024-Q2,term,FIERCE GOVERNMENT RELATIONS,"LHC Group, Inc.",290000,2b5afb8d-80d9-4e88-8723-b7b95298e64f,https://lda.senate.gov/filings/public/filing/2b5afb8d-80d9-4e88-8723-b7b95298e64f/print/
2024-Q2,term,"MEHLMAN CONSULTING, INC.",TikTok Inc.,290000,9792cd5f-720e-4416-8c28-fadb9d2f2862,https://lda.senate.gov/filings/public/filing/9792cd5f-720e-4416-8c28-fadb9d2f2862/print/
2024-Q2,term,"BALLARD PARTNERS, LLC","VOREX USA, LLC",290000,ea298d74-09bf-46bf-ad7a-f29153ec092f,https://lda.senate.gov/filings/public/filing/ea298d74-09bf-46bf-ad7a-f29153ec092f/print/
2024-Q2,term,HUTTON STRATEGIES,OCCIDENTAL CHEMICAL CORPORATION,275000,904996ea-70cc-47ab-9ccc-174ca480db8d,https://lda.senate.gov/filings/public/filing/904996ea-70cc-47ab-9ccc-174ca480db8d/print/
2024-Q2,term,AKIN GUMP STRAUSS HAUER & FELD,"BlackRock Funds Services Group, LLC",270000,6c8d564d-ed8e-48a5-9be1-fad748273769,https://lda.senate.gov/filings/public/filing/6c8d564d-ed8e-48a5-9be1-fad748273769/print/
2024-Q2,term,BGR GOVERNMENT AFFAIRS,"CASA SYSTEMS, INC.",270000,e4d27531-ffc8-4ff2-b80f-862822db4089,https://lda.senate.gov/filings/public/filing/e4d27531-ffc8-4ff2-b80f-862822db4089/print/
2024-Q2,term,"CROSSROADS STRATEGIES, LLC",LOUISIANA MID-CONTINENT OIL AND GAS ASSOCIATION,270000,684299f7-7be1-452f-a231-37bf8b631bcc,https://lda.senate.gov/filings/public/filing/684299f7-7be1-452f-a231-37bf8b631bcc/print/
2024-Q2,term,"CROSSROADS STRATEGIES, LLC","2U, Inc.",260000,9f1ae0fb-2e1f-4f8c-9ad0-c38e022a01be,https://lda.senate.gov/filings/public/filing/9f1ae0fb-2e1f-4f8c-9ad0-c38e022a01be/print/
2024-Q2,term,"TARPLIN, DOWNS & YOUNG, LLC",AIS Healthcare,260000,b50f5740-3942-49ec-9308-06305f701129,https://lda.senate.gov/filings/public/filing/b50f5740-3942-49ec-9308-06305f701129/print/
2024-Q2,term,LOCKE LORD LLP,"HILL COUNTRY CLASS 3, LLC",250000,f3e8cc86-0079-4939-9de2-74367b990ca9,https://lda.senate.gov/filings/public/filing/f3e8cc86-0079-4939-9de2-74367b990ca9/print/
2024-Q2,term,BOUNDARY STONE PARTNERS,ARBOR ENERGY,240000,d092d09f-e684-4c23-8b3a-71da8ad1d3ef,https://lda.senate.gov/filings/public/filing/d092d09f-e684-4c23-8b3a-71da8ad1d3ef/print/
2024-Q2,term,"VNF SOLUTIONS, LLC","Air Products and Chemicals, Inc.",240000,b6602dd4-e258-4a1b-ad32-ad57889c7ebb,https://lda.senate.gov/filings/public/filing/b6602dd4-e258-4a1b-ad32-ad57889c7ebb/print/
2024-Q2,term,"VNF SOLUTIONS, LLC",American Shrimp Processors Association,240000,2c956b2a-2771-46f6-94aa-64e2887ed5c0,https://lda.senate.gov/filings/public/filing/2c956b2a-2771-46f6-94aa-64e2887ed5c0/print/
2024-Q2,term,"SONORAN POLICY GROUP, LLC D/B/A STRYK GLOBAL DIPLOMACY, FORMERLY KNOWN AS SONORA",Amgen Inc.,240000,2ef2866d-9144-4903-a837-9de9df176ecc,https://lda.senate.gov/filings/public/filing/2ef2866d-9144-4903-a837-9de9df176ecc/print/
2024-Q2,term,VENN STRATEGIES,FORGE NANO,240000,6323c029-beca-49d8-9d8b-759258be3301,https://lda.senate.gov/filings/public/filing/6323c029-beca-49d8-9d8b-759258be3301/print/
2024-Q2,term,INVARIANT LLC,"Guardant Health, Inc.",240000,cd6b9a51-3ea4-4f3b-92c7-77ba046e9fb8,https://lda.senate.gov/filings/public/filing/cd6b9a51-3ea4-4f3b-92c7-77ba046e9fb8/print/
2024-Q3,hire,CHARTWELL STRATEGY GROUP LLC,CSG USA INC,165000,f1f1cc3a-a4f5-4660-bf44-23199114159c,https://lda.senate.gov/filings/public/filing/f1f1cc3a-a4f5-4660-bf44-23199114159c/print/
2024-Q3,hire,BALLARD PARTNERS,"NIXON PEABODY LLP (ON BEHALF OF PAX TECHNOLOGY INC. - ""PAX US"")",150000,06c8cdee-a07e-495f-b026-0c472244aded,https://lda.senate.gov/filings/public/filing/06c8cdee-a07e-495f-b026-0c472244aded/print/
2024-Q3,hire,STRATEGIC MARKETING INNOVATIONS,THE BATTERY ADVOCACY FOR TECHNOLOGY TRANSFORMATION (BATT) COALITION,135000,b4fb015c-25b1-4d53-98d2-de133b35b75e,https://lda.senate.gov/filings/public/filing/b4fb015c-25b1-4d53-98d2-de133b35b75e/print/
2024-Q3,hire,"AVOQ, LLC","A.I. PROGRESS, INC.",130000,ccf620db-b449-4176-a39f-d9257aee3723,https://lda.senate.gov/filings/public/filing/ccf620db-b449-4176-a39f-d9257aee3723/print/
2024-Q3,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ConocoPhillips,130000,f5e97147-2801-4b0e-9816-b5df596580d0,https://lda.senate.gov/filings/public/filing/f5e97147-2801-4b0e-9816-b5df596580d0/print/
2024-Q3,hire,DLA PIPER LLP (US),"CrowdStrike, Inc.",120000,4a2ff578-5317-4ef4-bcde-28094a621e37,https://lda.senate.gov/filings/public/filing/4a2ff578-5317-4ef4-bcde-28094a621e37/print/
2024-Q3,hire,CAPITOL COUNSEL LLC,Healing Breakthrough,120000,86ff9a29-00c3-4675-8178-5283d9eba3e1,https://lda.senate.gov/filings/public/filing/86ff9a29-00c3-4675-8178-5283d9eba3e1/print/
2024-Q3,hire,THE WASHINGTON TAX & PUBLIC POLICY GROUP,INTEREST DEDUCTIBILITY WORKING GROUP,120000,5f9fbd11-cb96-4d00-909b-730261e4fd9f,https://lda.senate.gov/filings/public/filing/5f9fbd11-cb96-4d00-909b-730261e4fd9f/print/
2024-Q3,hire,SIDLEY AUSTIN LLP,Intercept Pharmaceuticals,120000,4bd993d8-78c6-4ba0-a62a-cd576176a22f,https://lda.senate.gov/filings/public/filing/4bd993d8-78c6-4ba0-a62a-cd576176a22f/print/
2024-Q3,hire,ARNOLD & PORTER KAYE SCHOLER LLP,PHARMAESSENTIA USA CORPORATION,110000,d4ed4107-bba8-4bb0-b35f-26df968dbbe6,https://lda.senate.gov/filings/public/filing/d4ed4107-bba8-4bb0-b35f-26df968dbbe6/print/
2024-Q3,hire,COVINGTON & BURLING LLP,STARDUST GROUP,110000,22deeb76-134b-4443-8a3c-1cb052666773,https://lda.senate.gov/filings/public/filing/22deeb76-134b-4443-8a3c-1cb052666773/print/
2024-Q3,hire,KLEIN/JOHNSON GROUP,HEROIC HEARTS PROJECT,100000,f0d8e03e-5fbb-4ad5-968d-7096308a13fa,https://lda.senate.gov/filings/public/filing/f0d8e03e-5fbb-4ad5-968d-7096308a13fa/print/
2024-Q3,hire,BALLARD PARTNERS,"UNITED HEALTHCARE SERVICES, INC.",100000,ae719250-35be-45e8-81ca-529f3c5fabd5,https://lda.senate.gov/filings/public/filing/ae719250-35be-45e8-81ca-529f3c5fabd5/print/
2024-Q3,hire,"CORNERSTONE GOVERNMENT AFFAIRS, INC.","BlackRock Funds Services Group, LLC",90000,19607e0c-5c51-4377-af3d-0a5278f5fb2d,https://lda.senate.gov/filings/public/filing/19607e0c-5c51-4377-af3d-0a5278f5fb2d/print/
2024-Q3,hire,"PLATINUM ADVISORS DC, LLC",DALRADIAN USA,90000,63188016-a3f0-453b-b26d-14fd6d14acb2,https://lda.senate.gov/filings/public/filing/63188016-a3f0-453b-b26d-14fd6d14acb2/print/
2024-Q3,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GRUPO CARRINHO,90000,e2f9a2d0-d61d-4bd8-a7f6-b891e8f43cd5,https://lda.senate.gov/filings/public/filing/e2f9a2d0-d61d-4bd8-a7f6-b891e8f43cd5/print/
2024-Q3,hire,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),"GoBrands, Inc.",90000,c8656866-46dd-4aa7-bd37-7762029bf9ed,https://lda.senate.gov/filings/public/filing/c8656866-46dd-4aa7-bd37-7762029bf9ed/print/
2024-Q3,hire,SQUIRE PATTON BOGGS,JFK NTO LLC,90000,ee25477b-34bf-4877-acdd-3c1bdf69137e,https://lda.senate.gov/filings/public/filing/ee25477b-34bf-4877-acdd-3c1bdf69137e/print/
2024-Q3,hire,"GUIDEPOSTSTRATEGIES, LLC",Oracle Corporation,90000,03f04a75-c36c-4194-8544-0a3d6c0e2f71,https://lda.senate.gov/filings/public/filing/03f04a75-c36c-4194-8544-0a3d6c0e2f71/print/
2024-Q3,hire,BGR GOVERNMENT AFFAIRS,"Prolacta Bioscience, Inc.",90000,5e735838-aaf9-4d18-a199-7c8ec51e3fc9,https://lda.senate.gov/filings/public/filing/5e735838-aaf9-4d18-a199-7c8ec51e3fc9/print/
2024-Q3,hire,BGR GOVERNMENT AFFAIRS,AI SAQR AL JARIH REAL ESTATE INVESTMENT COMPANY,80000,8760bc2a-aae9-4896-97b7-d867d48dd756,https://lda.senate.gov/filings/public/filing/8760bc2a-aae9-4896-97b7-d867d48dd756/print/
2024-Q3,hire,MONUMENT ADVOCACY,ALBERTSONS,80000,f443db64-3650-47f5-870e-16b4ede99ec9,https://lda.senate.gov/filings/public/filing/f443db64-3650-47f5-870e-16b4ede99ec9/print/
2024-Q3,hire,BALLARD PARTNERS,BIOSTEM TECHNOLOGIES,80000,ba470a3f-31c8-4b9a-8525-03d1c06cb4c6,https://lda.senate.gov/filings/public/filing/ba470a3f-31c8-4b9a-8525-03d1c06cb4c6/print/
2024-Q3,hire,AMERICAN DEFENSE INTERNATIONAL,BLUEFORGE ALLIANCE,80000,3cdfb58b-8184-4a17-9b01-6c9caa1491ac,https://lda.senate.gov/filings/public/filing/3cdfb58b-8184-4a17-9b01-6c9caa1491ac/print/
2024-Q3,hire,CHAMBER HILL STRATEGIES,CALOPTIMA HEALTH,80000,4481e60c-135c-4c25-b0bf-e122bc5e50f1,https://lda.senate.gov/filings/public/filing/4481e60c-135c-4c25-b0bf-e122bc5e50f1/print/
2024-Q3,hire,AXADVOCACY GOVERNMENT RELATIONS,Douglas Development Corporation,80000,fde5ccfa-5935-4e72-b90a-0d6e0f625491,https://lda.senate.gov/filings/public/filing/fde5ccfa-5935-4e72-b90a-0d6e0f625491/print/
2024-Q3,hire,CAPITOL COUNSEL LLC,GOVERNMENT OF ONTARIO - MINISTRY OF INTERGOVERNMENTAL AFFAIRS,80000,beafec70-7245-4e79-bda6-75d87084986c,https://lda.senate.gov/filings/public/filing/beafec70-7245-4e79-bda6-75d87084986c/print/
2024-Q3,hire,"MEHLMAN CONSULTING, INC.",IBM,80000,c43dd0b5-47c1-4f57-888d-e4b3a53177ae,https://lda.senate.gov/filings/public/filing/c43dd0b5-47c1-4f57-888d-e4b3a53177ae/print/
2024-Q3,hire,"MERCURY PUBLIC AFFAIRS, LLC",MOTOWN SPORTS GROUP HOLDINGS INC.,80000,f4c30ea9-55f6-4111-be39-cfd429a67642,https://lda.senate.gov/filings/public/filing/f4c30ea9-55f6-4111-be39-cfd429a67642/print/
2024-Q3,hire,"LIBERTY PARTNERS GROUP, LLC",National Organization of Social Security Claimants' Representatives,80000,e8a4e368-3ad8-4beb-b9fa-8327f53e0303,https://lda.senate.gov/filings/public/filing/e8a4e368-3ad8-4beb-b9fa-8327f53e0303/print/
2024-Q3,term,STONINGTON GLOBAL,Maxsip Tel LLC,815000,f51e27f8-c189-4ec9-a38c-c57677ab7f53,https://lda.senate.gov/filings/public/filing/f51e27f8-c189-4ec9-a38c-c57677ab7f53/print/
