registrant,client,q_income,cite_uuid,registration_only,terminated_same_q,lda_public_url
DLA PIPER LLP (US),FANUC AMERICA CORPORATION,170000,323b3fd9-a223-4ec1-9d88-cc5f08283823,False,False,https://lda.senate.gov/filings/public/filing/323b3fd9-a223-4ec1-9d88-cc5f08283823/print/
LMH STRATEGIC SOLUTIONS,BICYCLE THERAPEUTICS,150000,4bc1f221-48c1-451f-880d-a211320c8a90,False,False,https://lda.senate.gov/filings/public/filing/4bc1f221-48c1-451f-880d-a211320c8a90/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DUNE MATERIALS LLC,150000,c5b0f04f-e5be-4d41-9f29-6aab6245dc8f,False,False,https://lda.senate.gov/filings/public/filing/c5b0f04f-e5be-4d41-9f29-6aab6245dc8f/print/
"DRAKE VENTURES, LLC","ECTO WORLD, LLC",150000,ee5fa374-04b8-48d0-9345-8737e79c5cf1,False,False,https://lda.senate.gov/filings/public/filing/ee5fa374-04b8-48d0-9345-8737e79c5cf1/print/
"BALLARD PARTNERS, LLC","ENERGY TRANSITION MINERALS, LTD.",150000,87e20a6a-fafa-42a4-846a-624fc13afcaa,False,False,https://lda.senate.gov/filings/public/filing/87e20a6a-fafa-42a4-846a-624fc13afcaa/print/
"BALLARD PARTNERS, LLC","LI INDUSTRIES, INC.",150000,6d8347a9-54ef-43ca-9a8d-8077d11ccebe,False,False,https://lda.senate.gov/filings/public/filing/6d8347a9-54ef-43ca-9a8d-8077d11ccebe/print/
KRESSIN POWERS LLC,"Netflix, Inc.",150000,93441682-a7d9-40b7-bb09-7fa453147fff,False,False,https://lda.senate.gov/filings/public/filing/93441682-a7d9-40b7-bb09-7fa453147fff/print/
"BALLARD PARTNERS, LLC",SUPREME SITE SERVICES GMBH,150000,1e844337-debb-41a3-8eae-8ab65c13ba79,False,False,https://lda.senate.gov/filings/public/filing/1e844337-debb-41a3-8eae-8ab65c13ba79/print/
AKIN GUMP STRAUSS HAUER & FELD,WetStone Holdings Ltd.,150000,296136b0-8c1a-48be-88ad-14a96a397de2,False,False,https://lda.senate.gov/filings/public/filing/296136b0-8c1a-48be-88ad-14a96a397de2/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",RESPOND-US,140000,b0502b8c-fa08-4859-8365-feb4d3c57fa0,False,False,https://lda.senate.gov/filings/public/filing/b0502b8c-fa08-4859-8365-feb4d3c57fa0/print/
"BALLARD PARTNERS, LLC",AGROINSUMOS IBEROAMERICANOS GROUP D/B/A/ AGROISLENA,130000,dcf3024f-988f-4061-ad62-d211b0ac77de,False,False,https://lda.senate.gov/filings/public/filing/dcf3024f-988f-4061-ad62-d211b0ac77de/print/
CHECKMATE GOVERNMENT RELATIONS,ALP SUPPLY CO. LLC,130000,9d352e53-1f9a-43f1-8173-4b7d870e3e4e,False,False,https://lda.senate.gov/filings/public/filing/9d352e53-1f9a-43f1-8173-4b7d870e3e4e/print/
"BALLARD PARTNERS, LLC","Anthropic, PBC",130000,ca8b4015-a7ac-47e8-a198-9c6ffd429694,False,False,https://lda.senate.gov/filings/public/filing/ca8b4015-a7ac-47e8-a198-9c6ffd429694/print/
"S2R, LLC",HEMP INDUSTRY AND FARMERS OF AMERICA,130000,89a942d6-f674-482c-b09c-e0f058113175,False,False,https://lda.senate.gov/filings/public/filing/89a942d6-f674-482c-b09c-e0f058113175/print/
"MILLER STRATEGIES, LLC",NATIONAL LAW ENFORCEMENT FOUNDATION,130000,105f88ee-4111-4516-b464-f7bffd79fe92,False,False,https://lda.senate.gov/filings/public/filing/105f88ee-4111-4516-b464-f7bffd79fe92/print/
"H.A. CUMBER & COMPANY, INC.",National Rental Home Council,130000,069cd50a-4aa9-4a19-ab3c-237929bf3d99,False,False,https://lda.senate.gov/filings/public/filing/069cd50a-4aa9-4a19-ab3c-237929bf3d99/print/
"MILLER STRATEGIES, LLC",PERFORMANCE DRONE WORKS,130000,1cf3c22a-6eaa-45dd-935d-5c663b1f7945,False,False,https://lda.senate.gov/filings/public/filing/1cf3c22a-6eaa-45dd-935d-5c663b1f7945/print/
AKIN GUMP STRAUSS HAUER & FELD,Spotify USA Inc.,130000,7823555b-bb4e-4e1d-a21b-643c37e158cd,False,False,https://lda.senate.gov/filings/public/filing/7823555b-bb4e-4e1d-a21b-643c37e158cd/print/
AKIN GUMP STRAUSS HAUER & FELD,"TRANSMEDICS GROUP, INC.",130000,28befb53-1df9-4815-b22a-6dc46352c6e6,False,False,https://lda.senate.gov/filings/public/filing/28befb53-1df9-4815-b22a-6dc46352c6e6/print/
"CASSIDY & ASSOCIATES, INC.","ULVAC, INC.",130000,85eab662-24b2-4a52-880d-5077c1602a65,False,False,https://lda.senate.gov/filings/public/filing/85eab662-24b2-4a52-880d-5077c1602a65/print/
"DCI GROUP, L.L.C.",AMERICAN CEMENT ASSOCIATION (FORMERLY KNOWN AS PORTLAND CEMENT ASSOCIATION),120000,af4c8594-e527-4ef2-8767-de6e20cc3786,False,False,https://lda.senate.gov/filings/public/filing/af4c8594-e527-4ef2-8767-de6e20cc3786/print/
"BALLARD PARTNERS, LLC",BB LIVING,120000,05965635-54c9-49ea-825b-2df4fa72e46b,False,False,https://lda.senate.gov/filings/public/filing/05965635-54c9-49ea-825b-2df4fa72e46b/print/
CHECKMATE GOVERNMENT RELATIONS,"Coinbase, Inc.",120000,a988040b-8776-43bc-9311-58b95dcfda73,False,False,https://lda.senate.gov/filings/public/filing/a988040b-8776-43bc-9311-58b95dcfda73/print/
"BALLARD PARTNERS, LLC",Del Monte Fresh Produce Company,120000,50e1268f-440d-49de-acb2-c4fa9f0d6f9e,False,False,https://lda.senate.gov/filings/public/filing/50e1268f-440d-49de-acb2-c4fa9f0d6f9e/print/
CHECKMATE GOVERNMENT RELATIONS,"EZ LYNK, SEZC",120000,d9af9e53-8c7c-4cd0-b2f2-5331f78b77d7,False,False,https://lda.senate.gov/filings/public/filing/d9af9e53-8c7c-4cd0-b2f2-5331f78b77d7/print/
"H.A. CUMBER & COMPANY, INC.",HALMAR INTERNATIONAL,120000,a84f3a2e-6a0f-4589-84ab-51fd8a2af1c0,False,False,https://lda.senate.gov/filings/public/filing/a84f3a2e-6a0f-4589-84ab-51fd8a2af1c0/print/
"MERCURY PUBLIC AFFAIRS, LLC",KEYSTONE STRATEGIC ADVISORS OBO BATRIC RADUNOVIC,120000,1062d91b-42d5-42cb-959d-d4d348d6bb57,False,False,https://lda.senate.gov/filings/public/filing/1062d91b-42d5-42cb-959d-d4d348d6bb57/print/
"BALLARD PARTNERS, LLC",MAHA CAPITAL,120000,3d76ce37-be55-43b9-b116-e065b6a067e4,False,False,https://lda.senate.gov/filings/public/filing/3d76ce37-be55-43b9-b116-e065b6a067e4/print/
AKIN GUMP STRAUSS HAUER & FELD,ROCKTREE USA LLC,120000,65c877c5-8565-460d-8bd3-50175c6354a6,False,False,https://lda.senate.gov/filings/public/filing/65c877c5-8565-460d-8bd3-50175c6354a6/print/
CHECKMATE GOVERNMENT RELATIONS,"SAMSARA, MULTISTATE ASSOCIATES, LLC",120000,3b55cc9a-3eb0-4773-b107-7eddca8b75b4,False,False,https://lda.senate.gov/filings/public/filing/3b55cc9a-3eb0-4773-b107-7eddca8b75b4/print/
"DCI GROUP, L.L.C.",Talen Energy,120000,544cdf7b-69f1-460e-8431-a56afcdbb745,False,False,https://lda.senate.gov/filings/public/filing/544cdf7b-69f1-460e-8431-a56afcdbb745/print/
SQUIRE PATTON BOGGS,UNION GANADERA REGIONAL DE CHI,120000,dde9185a-5e60-442e-9872-b468452b5891,False,False,https://lda.senate.gov/filings/public/filing/dde9185a-5e60-442e-9872-b468452b5891/print/
CHECKMATE GOVERNMENT RELATIONS,BAMCO LLC,110000,982570ff-1c09-422d-9592-d221cabdb6ef,False,False,https://lda.senate.gov/filings/public/filing/982570ff-1c09-422d-9592-d221cabdb6ef/print/
BGR GOVERNMENT AFFAIRS,CONVERGENT SOLUTIONS LLC D/B/A EXIGER GOVERNMENT SOLUTIONS,110000,c9e883a5-1d43-482f-b385-bc0aef99a4bd,False,False,https://lda.senate.gov/filings/public/filing/c9e883a5-1d43-482f-b385-bc0aef99a4bd/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DIGNITY GOLD LLC,110000,71f30fbe-7f68-4398-9183-d6a367a072cb,False,False,https://lda.senate.gov/filings/public/filing/71f30fbe-7f68-4398-9183-d6a367a072cb/print/
MONUMENT ADVOCACY,Integrity Marketing Group,110000,7bbd8722-5f8d-4dd0-b282-c84fcc5f6bab,False,False,https://lda.senate.gov/filings/public/filing/7bbd8722-5f8d-4dd0-b282-c84fcc5f6bab/print/
CHECKMATE GOVERNMENT RELATIONS,SYDNEXIS,110000,40ea8276-cc0b-44fd-af3d-16d2cfa1e73c,False,False,https://lda.senate.gov/filings/public/filing/40ea8276-cc0b-44fd-af3d-16d2cfa1e73c/print/
FORBES-TATE,YTY,110000,e1eb10c4-745d-4386-bf9d-8f7cf18f0f5d,False,False,https://lda.senate.gov/filings/public/filing/e1eb10c4-745d-4386-bf9d-8f7cf18f0f5d/print/
"CONTINENTAL STRATEGY, LLC","ST Engineering North America, Inc.",105000,e456b46d-ad03-4bfe-833a-9573c809eb91,False,False,https://lda.senate.gov/filings/public/filing/e456b46d-ad03-4bfe-833a-9573c809eb91/print/
J M BURKMAN & ASSOCIATES,AHMED MOHAMED,100000,3ce16cfd-2052-495b-81fb-0aa94ae2f20a,False,False,https://lda.senate.gov/filings/public/filing/3ce16cfd-2052-495b-81fb-0aa94ae2f20a/print/
CHECKMATE GOVERNMENT RELATIONS,AMERICAN HEALTHCARE SYSTEMS,100000,991a4ab4-9797-4f5e-951a-07a2b45eacb0,False,False,https://lda.senate.gov/filings/public/filing/991a4ab4-9797-4f5e-951a-07a2b45eacb0/print/
"BALLARD PARTNERS, LLC","AXINN, VELTROP & HARKRIDER LLP ON BEHALF OF TECOMET, INC.",100000,a9f1c604-bd73-4d04-96e1-65711df64e40,False,False,https://lda.senate.gov/filings/public/filing/a9f1c604-bd73-4d04-96e1-65711df64e40/print/
"BALLARD PARTNERS, LLC",Balkan Energy SHA,100000,40fe61b6-605c-47bd-b351-1fd4e8d2a813,False,False,https://lda.senate.gov/filings/public/filing/40fe61b6-605c-47bd-b351-1fd4e8d2a813/print/
KING & SPALDING LLP,FIVE STAR HOLDING LLC,100000,1d8b89da-7679-49ec-8ebc-b7e48ede90a9,False,False,https://lda.senate.gov/filings/public/filing/1d8b89da-7679-49ec-8ebc-b7e48ede90a9/print/
AKIN GUMP STRAUSS HAUER & FELD,KERRVILLE PUBLIC UTILITY BOARD (KPUB),100000,3dd054b6-93e9-4ac9-8ad7-13d5f803341b,False,False,https://lda.senate.gov/filings/public/filing/3dd054b6-93e9-4ac9-8ad7-13d5f803341b/print/
"BALLARD PARTNERS, LLC",M1 HOLDINGS GROUP LLC,100000,f5edb257-e374-4a8f-a51a-e40bf0b18286,False,False,https://lda.senate.gov/filings/public/filing/f5edb257-e374-4a8f-a51a-e40bf0b18286/print/
MICHAEL BEST STRATEGIES LLC,MINNESOTA CHAMBER OF COMMERCE,100000,d683bdef-357e-42b3-b6c8-818cde36117a,False,False,https://lda.senate.gov/filings/public/filing/d683bdef-357e-42b3-b6c8-818cde36117a/print/
CHECKMATE GOVERNMENT RELATIONS,"OWEN G. DUNN CO., INC.",100000,5977a4c6-3005-411b-b25f-c924164beb1c,False,False,https://lda.senate.gov/filings/public/filing/5977a4c6-3005-411b-b25f-c924164beb1c/print/
MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),PEREGRINE ENERGY SOLUTIONS,100000,ebb9dc56-7107-486e-b900-eaf90498d7fd,False,False,https://lda.senate.gov/filings/public/filing/ebb9dc56-7107-486e-b900-eaf90498d7fd/print/
"TIMOTHY R. RUPLI & ASSOCIATES, INC.","PH HEALTHCARE INVESTORS, LLC",100000,4662b778-f4fc-48dd-8adb-a2c1dc7292d0,False,False,https://lda.senate.gov/filings/public/filing/4662b778-f4fc-48dd-8adb-a2c1dc7292d0/print/
CHECKMATE GOVERNMENT RELATIONS,PORT MADISON ENTERPRISES,100000,f082f081-cc0a-4d21-8ddc-38883a2fc6b1,False,False,https://lda.senate.gov/filings/public/filing/f082f081-cc0a-4d21-8ddc-38883a2fc6b1/print/
HUNTON ANDREWS KURTH LLP,Polaris Inc.,100000,8d4c825d-d886-4dc6-8bb7-26da8b7c0e3e,False,False,https://lda.senate.gov/filings/public/filing/8d4c825d-d886-4dc6-8bb7-26da8b7c0e3e/print/
"MILLER STRATEGIES, LLC",THE UNITED COMPANY,100000,273750bd-0c27-4016-a9b0-94eaf171aebd,False,False,https://lda.senate.gov/filings/public/filing/273750bd-0c27-4016-a9b0-94eaf171aebd/print/
"BALLARD PARTNERS, LLC",ARMR SCIENCES,90000,ef9c81a7-f673-46c7-bae8-9fbc807a7f26,False,False,https://lda.senate.gov/filings/public/filing/ef9c81a7-f673-46c7-bae8-9fbc807a7f26/print/
"CGCN GROUP, LLC",Aalo Atomics,90000,78cfe388-9e81-452d-b09a-ddbfd18b934b,False,False,https://lda.senate.gov/filings/public/filing/78cfe388-9e81-452d-b09a-ddbfd18b934b/print/
"CONTINENTAL STRATEGY, LLC",BIA FOODS,90000,c9f81b7c-7caf-42e3-843e-6ef87bd7e7b9,False,False,https://lda.senate.gov/filings/public/filing/c9f81b7c-7caf-42e3-843e-6ef87bd7e7b9/print/
THORN RUN PARTNERS,BIO-LNG MARITIME FUEL COALITION,90000,77e3efc2-a799-437d-8593-8d527b243382,False,False,https://lda.senate.gov/filings/public/filing/77e3efc2-a799-437d-8593-8d527b243382/print/
CHECKMATE GOVERNMENT RELATIONS,BLINK HEALTH LTD (A BERMUDA LIMITED COMPANY),90000,ff27e6e6-da2e-4ae8-a63d-e757fa7e2a85,False,False,https://lda.senate.gov/filings/public/filing/ff27e6e6-da2e-4ae8-a63d-e757fa7e2a85/print/
"BALLARD PARTNERS, LLC",CHAPMAN DEVELOPMENT LLC,90000,4e9e5cd3-ac5f-497b-9ee7-05ea4e6ef053,False,False,https://lda.senate.gov/filings/public/filing/4e9e5cd3-ac5f-497b-9ee7-05ea4e6ef053/print/
DELTA STRATEGY GROUP,DraftKings Inc.,90000,616fb223-e898-4727-914c-3852b8cdf68d,False,False,https://lda.senate.gov/filings/public/filing/616fb223-e898-4727-914c-3852b8cdf68d/print/
"GUIDEPOSTSTRATEGIES, LLC",ERAMET MARIETTA INC,90000,16f2ea04-c00a-4991-bd6f-095954c7ffb2,False,False,https://lda.senate.gov/filings/public/filing/16f2ea04-c00a-4991-bd6f-095954c7ffb2/print/
CHECKMATE GOVERNMENT RELATIONS,EXPERIAN INC,90000,ae9ba0bf-d931-4721-b28a-969f2d58ba39,False,False,https://lda.senate.gov/filings/public/filing/ae9ba0bf-d931-4721-b28a-969f2d58ba39/print/
"MILLER STRATEGIES, LLC","HDT EXPEDITIONARY SYSTEMS, INC.",90000,dd6b482b-ff10-484d-91d9-4694913eda19,False,False,https://lda.senate.gov/filings/public/filing/dd6b482b-ff10-484d-91d9-4694913eda19/print/
BGR GOVERNMENT AFFAIRS,HELLO HEART,90000,17f5b8e4-a86d-421a-a074-607c9b8f34e6,False,False,https://lda.senate.gov/filings/public/filing/17f5b8e4-a86d-421a-a074-607c9b8f34e6/print/
FOLEY & LARDNER LLP,"LASH OPCO, LLC",90000,e787003f-4756-485f-a072-b7bff6ef100e,False,False,https://lda.senate.gov/filings/public/filing/e787003f-4756-485f-a072-b7bff6ef100e/print/
MABRY PUBLIC AFFAIRS LLC,NOVIG,90000,c275fdf1-f8d2-4a2c-be92-26b68bf72d8c,False,False,https://lda.senate.gov/filings/public/filing/c275fdf1-f8d2-4a2c-be92-26b68bf72d8c/print/
"DB3, LLC (FKA THE DASCHLE GROUP)","Neuros Medical, Inc.",90000,3514fba7-2e35-4545-8b07-2b0aa3a40705,False,False,https://lda.senate.gov/filings/public/filing/3514fba7-2e35-4545-8b07-2b0aa3a40705/print/
COVINGTON & BURLING LLP,PERRIGO COMPANY PLC,90000,522a0eee-0d33-40a9-ba19-c14becd44e7e,False,False,https://lda.senate.gov/filings/public/filing/522a0eee-0d33-40a9-ba19-c14becd44e7e/print/
CHECKMATE GOVERNMENT RELATIONS,PROMISE NETWORK INC.,90000,291f24fe-024a-4c76-a199-2d981fe0ceac,False,True,https://lda.senate.gov/filings/public/filing/291f24fe-024a-4c76-a199-2d981fe0ceac/print/
AKIN GUMP STRAUSS HAUER & FELD,"Procore Technologies, Inc.",90000,417c2849-a8da-4bd9-a836-049f1eca1474,False,False,https://lda.senate.gov/filings/public/filing/417c2849-a8da-4bd9-a836-049f1eca1474/print/
THORN RUN PARTNERS,SEAPOINT INDUSTRIAL TERMINAL,90000,0cf5c80e-4757-41ff-a1fa-5de1aa99e9b6,False,False,https://lda.senate.gov/filings/public/filing/0cf5c80e-4757-41ff-a1fa-5de1aa99e9b6/print/
VENABLE LLP,"STRIDER TECHNOLOGIES, INC.",90000,0858e522-d5f4-4027-bc60-326cf97b476b,False,False,https://lda.senate.gov/filings/public/filing/0858e522-d5f4-4027-bc60-326cf97b476b/print/
"H.A. CUMBER & COMPANY, INC.","STV GROUP, INC.",90000,3049f868-0d18-4acb-a9cf-8c7290fd0fe5,False,False,https://lda.senate.gov/filings/public/filing/3049f868-0d18-4acb-a9cf-8c7290fd0fe5/print/
"GIBSON, DUNN & CRUTCHER LLP",Sierra Space Corporation,90000,4664b1a6-8811-4f0f-81be-c5a508816fc5,False,False,https://lda.senate.gov/filings/public/filing/4664b1a6-8811-4f0f-81be-c5a508816fc5/print/
"DCI GROUP, L.L.C.",TC Energy,90000,43cdfd13-979a-415c-b99a-36e3451f8c4a,False,False,https://lda.senate.gov/filings/public/filing/43cdfd13-979a-415c-b99a-36e3451f8c4a/print/
CHECKMATE GOVERNMENT RELATIONS,THE CATAWBA NATION,90000,73f10e70-6005-4b37-a1a8-0ebea613b674,False,False,https://lda.senate.gov/filings/public/filing/73f10e70-6005-4b37-a1a8-0ebea613b674/print/
"MILLER STRATEGIES, LLC","TRANSDIGM GROUP, INC.",90000,d595b9ab-7767-4815-9269-d7e27c25aeee,False,False,https://lda.senate.gov/filings/public/filing/d595b9ab-7767-4815-9269-d7e27c25aeee/print/
"MERCURY PUBLIC AFFAIRS, LLC","UL SOLUTIONS, INC.",90000,a6d411d7-9c75-4a44-b227-c82780a03cc4,False,False,https://lda.senate.gov/filings/public/filing/a6d411d7-9c75-4a44-b227-c82780a03cc4/print/
"BALLARD PARTNERS, LLC",VIRTUS MINERALS GROUP INC.,90000,026dee4d-bd94-44fa-86d9-2f55617467b8,False,False,https://lda.senate.gov/filings/public/filing/026dee4d-bd94-44fa-86d9-2f55617467b8/print/
MICHAEL BEST STRATEGIES LLC,WESTERN STOCK SHOW ASSOCIATION,90000,e5c8fcb2-897f-441e-8861-c9b05a873cd2,False,False,https://lda.senate.gov/filings/public/filing/e5c8fcb2-897f-441e-8861-c9b05a873cd2/print/
"CONTINENTAL STRATEGY, LLC","HYPERTHERM, INC.",89194,cdb67780-bd14-4d65-97a9-e11fe08e13ff,False,False,https://lda.senate.gov/filings/public/filing/cdb67780-bd14-4d65-97a9-e11fe08e13ff/print/
HILLNORTH LLC,POB VENTURES,85000,f28be931-5040-4177-b580-cc3db0b200dc,False,False,https://lda.senate.gov/filings/public/filing/f28be931-5040-4177-b580-cc3db0b200dc/print/
VALCOUR LLC,AB COMMODITIES,80000,da9ee0c6-326a-4bcb-bd53-890f482b2bfe,False,False,https://lda.senate.gov/filings/public/filing/da9ee0c6-326a-4bcb-bd53-890f482b2bfe/print/
"HARBINGER STRATEGIES, LLC","ADVANCED MANUFACTURING COMPANY OF AMERICA, INC.",80000,a1c5cdf1-1e34-4ff8-834b-8fd97642e8e1,False,False,https://lda.senate.gov/filings/public/filing/a1c5cdf1-1e34-4ff8-834b-8fd97642e8e1/print/
AXADVOCACY GOVERNMENT RELATIONS,"ALL POINTS BROADBAND PARTNERS, LLC",80000,4940e4c7-72a9-4777-bcd1-84b2871e158a,False,False,https://lda.senate.gov/filings/public/filing/4940e4c7-72a9-4777-bcd1-84b2871e158a/print/
CAPITOL PILLAR LLC,ALYESKA PIPELINE SERVICE COMPANY,80000,ed85bc7e-1a73-4748-9886-41ac7d232382,False,False,https://lda.senate.gov/filings/public/filing/ed85bc7e-1a73-4748-9886-41ac7d232382/print/
MCLARTY INBOUND LLC,AMERICAN COPPER FABRICATORS COALITION,80000,ac6d3452-2d97-4ddb-9d6c-790bcea65ae8,False,False,https://lda.senate.gov/filings/public/filing/ac6d3452-2d97-4ddb-9d6c-790bcea65ae8/print/
S-3 GROUP,AMERICAN COUNCIL FOR CAPITAL FORMATION,80000,e4326aac-cdab-43d9-a9a7-3161e2757c94,False,False,https://lda.senate.gov/filings/public/filing/e4326aac-cdab-43d9-a9a7-3161e2757c94/print/
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),ARNOLD & PORTER KAYE SCHOLER LLP (ON BEHALF OF OF VAST INC.),80000,0f10f0de-1a0a-4ae7-82e7-211f5dbb0c78,False,False,https://lda.senate.gov/filings/public/filing/0f10f0de-1a0a-4ae7-82e7-211f5dbb0c78/print/
"CONTINENTAL STRATEGY, LLC",ASOCOLFLORES,80000,3d842d97-3191-4886-b8b5-2083ef167c4f,False,False,https://lda.senate.gov/filings/public/filing/3d842d97-3191-4886-b8b5-2083ef167c4f/print/
VALCOUR LLC,Abt Global,80000,c8b3eca8-0e70-4162-aa2b-9a2205d33be8,False,False,https://lda.senate.gov/filings/public/filing/c8b3eca8-0e70-4162-aa2b-9a2205d33be8/print/
CHECKMATE GOVERNMENT RELATIONS,BIOHAVEN LTD.,80000,fc97ec6c-aa70-41ef-af55-5c00925e65e6,False,False,https://lda.senate.gov/filings/public/filing/fc97ec6c-aa70-41ef-af55-5c00925e65e6/print/
AXADVOCACY GOVERNMENT RELATIONS,BITCOIN DEPOT,80000,77b1f37e-74ac-48f6-a462-d2d9675bf775,False,False,https://lda.senate.gov/filings/public/filing/77b1f37e-74ac-48f6-a462-d2d9675bf775/print/
