client,old_firm,new_firm,hire_dq,move,client_q_canonical_spend,term_uuid,term_lda_url,hire_uuid,hire_lda_url
Form Energy,BOUNDARY STONE PARTNERS,MISSION STRATEGIES LLC (ENERGY),0,,100000,3feb382b-3071-45ba-85d2-f1fedf751d54,https://lda.senate.gov/filings/public/filing/3feb382b-3071-45ba-85d2-f1fedf751d54/print/,22a3077c-73be-4e34-b5bc-01da5314093a,https://lda.senate.gov/filings/public/filing/22a3077c-73be-4e34-b5bc-01da5314093a/print/
Mill Industries Inc.,CROWELL & MORING LLP,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",-1,,100000,1e49a182-257f-49ec-bc55-0cd8fabdc6b2,https://lda.senate.gov/filings/public/filing/1e49a182-257f-49ec-bc55-0cd8fabdc6b2/print/,18b7e133-e9d0-4d88-9c7d-5f13dc2bddd9,https://lda.senate.gov/filings/public/filing/18b7e133-e9d0-4d88-9c7d-5f13dc2bddd9/print/
National Rental Home Council,VENABLE LLP,"H.A. CUMBER & COMPANY, INC.",1,,100000,3f6f2bef-d20f-4d8a-b798-8cafe9a70d12,https://lda.senate.gov/filings/public/filing/3f6f2bef-d20f-4d8a-b798-8cafe9a70d12/print/,069cd50a-4aa9-4a19-ab3c-237929bf3d99,https://lda.senate.gov/filings/public/filing/069cd50a-4aa9-4a19-ab3c-237929bf3d99/print/
Plaid Inc.,INVARIANT LLC,"MINDSET ADVOCACY, LLC",0,,100000,31daa4b3-7ec4-4a0f-922f-4b8555ad693e,https://lda.senate.gov/filings/public/filing/31daa4b3-7ec4-4a0f-922f-4b8555ad693e/print/,135d9a62-9ec4-4102-b5d7-978a6097be71,https://lda.senate.gov/filings/public/filing/135d9a62-9ec4-4102-b5d7-978a6097be71/print/
Planned Parenthood Federation of America,KEEFE STRATEGIES LLC (FKA KEEFE SINGISER PARTNERS),SINGISER SOLUTIONS LLC,1,,94048,6a0503a4-8bba-44ff-bf46-3fcf562801cb,https://lda.senate.gov/filings/public/filing/6a0503a4-8bba-44ff-bf46-3fcf562801cb/print/,a0f61b3a-02b5-4690-a7a1-820197726388,https://lda.senate.gov/filings/public/filing/a0f61b3a-02b5-4690-a7a1-820197726388/print/
KELLEY DRYE & WARREN,ROCK CREEK COUNSEL,RUBINER STRATEGIES,0,,92000,9f0431b6-174a-469e-916d-fe3cdca9d6cd,https://lda.senate.gov/filings/public/filing/9f0431b6-174a-469e-916d-fe3cdca9d6cd/print/,091a5296-0fcc-4263-8269-aa14c4e8898b,https://lda.senate.gov/filings/public/filing/091a5296-0fcc-4263-8269-aa14c4e8898b/print/
American Security Fund,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",UPTOWN STRATEGIES INC. (FKA UPTOWN SOLUTIONS LLC),-1,,90000,22cdd844-be6e-488b-931e-9a1cb9d3d4e5,https://lda.senate.gov/filings/public/filing/22cdd844-be6e-488b-931e-9a1cb9d3d4e5/print/,13f7137b-92f6-4a3d-9ed7-9b2e83a73a16,https://lda.senate.gov/filings/public/filing/13f7137b-92f6-4a3d-9ed7-9b2e83a73a16/print/
Engine Manufacturers Association,CROWELL & MORING LLP,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",-1,,90000,ab154e25-5b97-4d8a-aa7d-d687a12a7f1a,https://lda.senate.gov/filings/public/filing/ab154e25-5b97-4d8a-aa7d-d687a12a7f1a/print/,bce60b2c-2021-4a8a-ac83-699a62d7f3ee,https://lda.senate.gov/filings/public/filing/bce60b2c-2021-4a8a-ac83-699a62d7f3ee/print/
Flex Association,ULMAN PUBLIC POLICY & FEDERAL RELATIONS,CONWAY CAPITOL CONSULTING LLC,1,,90000,9ba67f74-d0f7-457f-a097-51a015b96d63,https://lda.senate.gov/filings/public/filing/9ba67f74-d0f7-457f-a097-51a015b96d63/print/,c0f8c7d9-fc60-44ea-82a2-7b1f8d6334d2,https://lda.senate.gov/filings/public/filing/c0f8c7d9-fc60-44ea-82a2-7b1f8d6334d2/print/
"HeartFlow, Inc.",BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,"KOUNTOUPES DENHAM CARR & REID, LLC",1,,90000,ce1d48ab-14af-43ad-beef-248bc64b1e14,https://lda.senate.gov/filings/public/filing/ce1d48ab-14af-43ad-beef-248bc64b1e14/print/,530d5f23-b8b0-48c6-9061-50b2144b670a,https://lda.senate.gov/filings/public/filing/530d5f23-b8b0-48c6-9061-50b2144b670a/print/
