recipient_raw,items,total
"REP. TERRI SEWELL, REP. JOYCE BEATTY, REP. TROY CARTER, REP. GLENN IVEY, REP. ROBIN KELLY, REP. LUCY MCBATH, REP. STACEY PLASKETT, REP. FREDERICA WILSON",3,110000.0
MARSHA BLACKBURN,31,108000.0
REP. PETE AGUILAR,42,108000.0
BLUE DOG POLITICAL ACTION COMMITTEE,22,107500.0
TROY CARTER,48,106500.0
PATTY MURRAY,34,106400.0
ERIC SCHMITT,29,105575.0
MIKE QUIGLEY,54,105500.0
DAVID ROUZER,49,105000.0
JOHN BOOZMAN,30,104000.0
REP BRUCE WESTERMAN,33,102500.0
SENATOR MITCH MCCONNELL,2,102500.0
SEN. JOHN THUNE,32,101500.0
DONALD NORCROSS,31,101251.0
JOE BIDEN FOR PRESIDENT,3,100500.0
SEN JOHN THUNE,26,100500.0
ANNUAL SPONSORSHIP THAT INCLUDES THE EQUITY AWARD HONORING REP. NANCY PELOSI (D-CA). CONTRIBUTION IN THE FORM OF 376 ONE-WAY AIRLINE PASSES & $25000 TO THE ORGANIZATION,1,100200.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION INC,1,100000.0
GEORGE W. BUSH PRESIDENTIAL CENTER,1,100000.0
MEMBERS OF THE CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS,1,100000.0
PRES. DONALD TRUMP VICE PRESIDENT ELECT J.D. VANCE,1,100000.0
PRESIDENT JOHN. F. KENNEDY. ANNUAL SPONSORSHIP OF THE KENNEDY CENTER,1,100000.0
REP. JAMES E. CLYBURN,9,100000.0
SEN. JOHN RANDOLPH THUNE,26,100000.0
"SPONSORSHIP OF THE 2024 WOMEN'S SUMMIT ""LIFTING AS WE CLIMB MENTORING AND MOTIVATING""",1,100000.0
SPONSORSHIP OF THE GERSHWIN PRIZE FOR POPULAR SONG EVENT,1,100000.0
SPONSORSHIP OF THE HIP HOP BLOCK PARTY,1,100000.0
"SPONSORSHIP OF THE PROGRAM ""FROM HER LENS: PERSPECTIVES ON RACE""",1,100000.0
SPONSORSHIP OF THE WOMEN'S E3 SUMMIT (PAYMENT 1 OF 2),1,100000.0
SPONSORSHIP OF THE WOMEN'S E3 SUMMIT (PAYMENT 2 OF 2),1,100000.0
TAMMY DUCKWORTH,32,100000.0
THE JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,1,100000.0
VOTEVETS PAC HYBRID,1,100000.0
LISA BLUNT ROCHESTER,36,99392.0
REP HAKEEM JEFFRIES,26,99000.0
REP. GARRET NEAL GRAVES,45,99000.0
JOHN CURTIS,47,98609.0
SEN TIM SCOTT,16,98000.0
BRIAN FITZPATRICK,44,97500.0
BRUCE WESTERMAN,42,97000.0
REP. STEVE WOMACK,29,96000.0
CYNTHIA LUMMIS,28,95000.0
SETH MOULTON,42,94500.0
CHRIS VAN HOLLEN,27,94000.0
PETE STAUBER,44,93500.0
REP SUZAN DELBENE,17,93500.0
KEVIN MCCARTHY,26,93000.0
CHRISTOPHER COONS,25,92500.0
KATHERINE CLARK,33,92500.0
AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES GOOD GOVERNMENT COMMITTEE PAC,39,92470.0
TOM COLE,42,92250.0
TODD YOUNG,25,92000.0
DEMOCRATIC NATIONAL COMMITTEE,7,91800.0
SEN ROGER WICKER,30,91500.0
ANGIE CRAIG,39,91000.0
REP. BRETT GUTHRIE,37,91000.0
JOHN HOEVEN,29,90500.0
DCCC LEGAL FUND,2,90000.0
DNC BUILDING FUND,2,90000.0
DSCC LEGAL FUND,2,90000.0
GARRET GRAVES,46,90000.0
SPONSORSHIP AND SUPPORT OF THE 2022 LIBRARY OF CONGRESS NATIONAL BOOK FESTIVAL,1,90000.0
LINDSEY GRAHAM,25,89700.0
BENNIE THOMPSON,34,89500.0
BETTY MCCOLLUM,36,89150.0
REP RICK LARSEN,30,88500.0
SEN. JON TESTER,34,88500.0
SEN. ROGER WICKER,28,88500.0
REP JASON SMITH,29,88000.0
KATIE BRITT,31,87980.0
REP MIKE ROGERS,24,87500.0
KEN CALVERT,44,87000.0
SEN SHELLEY MOORE CAPITO,38,87000.0
TAMMY BALDWIN,36,86851.0
"REP. SAMUEL BRUCE GRAVES, JR",37,86500.0
RICHARD HUDSON,29,86500.0
BRIAN SCHATZ,28,86000.0
MARIO DIAZ-BALART,32,86000.0
REP TOM EMMER JR,30,86000.0
REP. PETER RAY AGUILAR,40,86000.0
SEN. ROGER FREDERICK WICKER,26,86000.0
REP. ADAM SMITH,28,85500.0
ENTITY CONTROLLED BY COVERED LEGISLATIVE OFFICIALS,4,85000.0
RICHARD NEAL,32,84500.0
DARIN LAHOOD,36,84000.0
MIKE BOST,40,84000.0
DINA TITUS,33,83681.0
RICK SCOTT,18,83500.0
GREGORY MEEKS,30,83000.0
JONI ERNST,24,83000.0
ROSA DELAURO,28,83000.0
BLUE DOG PAC,17,82000.0
REP TOM COLE,32,82000.0
REP. HAKEEM S. JEFFRIES,24,82000.0
REP. HAKEEM JEFFRIES,22,81900.0
JARED HUFFMAN,42,81500.0
CONGRESSIONAL HISPANIC LEADERSHIP INSTITUTE,4,80000.0
PETE RICKETTS,23,80000.0
TED CRUZ,36,79600.0
JOE MORELLE,35,79500.0
JOHN GARAMENDI,28,79000.0
SEN. MARTIN HEINRICH,32,79000.0
JACK REED,25,78750.0
JOHN KENNEDY,21,78500.0
SEN. JERRY MORAN,33,78500.0
THOM TILLIS,24,78500.0
REP. ASHLEY HINSON,47,78000.0
STEVE WOMACK,29,78000.0
MEMBERS OF THE HOUSE DEMOCRATIC CAUCUS,5,77500.0
"ROGERS, MIKE",26,77500.0
STEVEN HORSFORD,39,77345.0
REP. KEN CALVERT,37,77300.0
ANDREW GARBARINO,38,77000.0
"REP. THOMAS EARL EMMER, JR",27,77000.0
SEN. JOHN BOOZMAN,23,77000.0
"REP. ADRIANO ESPAILLAT, REP. NANETTE BARRAGAN, REP. TONY CARDENAS, REP. NORMA TORRES, REP. DARREN SOTO",2,76700.0
ANDRE CARSON,37,76500.0
RUBEN GALLEGO,29,76293.0
EQUALITY PAC,17,76000.0
REP. KATHERINE CLARK,26,75600.0
SUSIE LEE,34,75515.0
SEN. CATHERINE CORTEZ MASTO,28,75500.0
SEN. THOM TILLIS,24,75500.0
"BOARD OF DIRECTORS INCLUDES REPS. ADRIANO ESPAILLAT, NANETTE BARRAGAN, TONY CARDENAS, DARREN SOTO, AND NORMA TORRES, AND SEN. BEN RAY LUJAN",2,75000.0
CONGRESSIONAL BLACK CAUCUS POLITICAL EDUCATION AND LEADERSHIP INSTITUTE,2,75000.0
"JOHNSON, MIKE",19,75000.0
PROJECT 72 WI PAC,1,75000.0
REP MARIO DIAZBALART,30,75000.0
"REP. ADRIANO ESPAILLAT, REP. DARREN SOTO, REP. SYLVIA GARCIA, REP. ROBERT MENENDEZ JR, REP. NORMA TORRES, REP. JOAQUIN CASTRO, REP. ANDREA SALINAS, GILBERT RAY CISNEROS JR",1,75000.0
"REP. ADRIANO ESPAILLAT, REP. TONY CARDENAS, REP. NANETTE BARRAGAN, REP. DARREN SOTO, REP. NORMA TORRES",1,75000.0
"REP. DARREN SOTO, REP. ADRIANO ESPAILLAT, REP. SYLVIA GARCIA, REP. ROBERT MENENDEZ JR., REP. NORMA TORRES, REP. ANDREA SALINAS, REP. JOAQUIN CASTRO, REP. GILBERT RAY CISNEROS JR",1,75000.0
RETIRE CAREER POLITICANS,1,75000.0
"WHITE HOUSE PRESS SECRETARY KARINA JEAN-PIERRE, HOUSE MINORITY LEADER REP HAKEEM JEFFRIES (D-NY 8)",2,75000.0
SEN. SHELLEY MOORE CAPITO,33,74800.0
MARCY KAPTUR,33,74650.0
"MORAN, JERRY",21,74500.0
SEN. TED CRUZ,27,74500.0
REP. JASON THOMAS SMITH,31,74000.0
