member,giver_slice,raw_recipient_string_as_filed,tier,confidence,source,total,items
Rep. David Kustoff (R-TN),diversified_core,REP. DAVID KUSTOFF,direct,matched,person-name,78000.0,33
Rep. David P. Joyce (R-OH),crypto_native,REP. DAVE JOYCE,direct,matched,person-name,1000.0,1
Rep. David Schweikert (R-AZ),crypto_native,REP. DAVID S. SCHWEIKERT,direct,matched,person-name,1500.0,1
Rep. David Scott (D-GA),diversified_core,DAVID SCOTT,direct,matched,person-name,95000.0,36
Rep. David Scott (D-GA),diversified_core,REP DAVID SCOTT,direct,matched,person-name,77500.0,23
Rep. David Scott (D-GA),diversified_core,REP. DAVID SCOTT,direct,matched,person-name,61000.0,28
Rep. Deborah K. Ross (D-NC),diversified_core,REP. DEBORAH ROSS,direct,matched,person-name,54000.0,23
Rep. Derek Kilmer (D-WA),diversified_core,REP. DEREK KILMER,direct,matched,person-name,65500.0,36
Rep. Derek Tran (D-CA),crypto_native,REP. DEREK TRAN,direct,matched,person-name,2000.0,3
Rep. Donald G. Davis (D-NC),crypto_native,REP. DON DAVIS,direct,matched,person-name,1500.0,3
Rep. Donald Norcross (D-NJ),diversified_core,REP. DONALD NORCROSS,direct,matched,person-name,64000.0,28
Rep. Dusty Johnson (R-SD),crypto_native,REP. DUSTY JOHNSON,direct,matched,person-name,4500.0,4
Rep. Dusty Johnson (R-SD),crypto_native,DAKOTA LEADERSHIP PAC; FRIENDS OF DUSTY JOHNSON; DUSTY PAC,leadership-pac,compound:linked,committee-exact/openfec-sponsor,4500.0,2
Rep. Dusty Johnson (R-SD),crypto_native,DAKOTA LEADERSHIP PAC; FRIENDS OF DUSTY JOHNSON; DUSTY PAC,campaign-committee,compound:linked,committee-exact/fec-ccl,4500.0,2
Rep. Dusty Johnson (R-SD),crypto_native,DUSTY JOHNSON,direct,matched,person-name,2000.0,1
Rep. Dusty Johnson (R-SD),diversified_core,REP. DUSTY JOHNSON,direct,matched,person-name,77095.0,38
Rep. Eleanor Holmes Norton (D-DC),diversified_core,ELEANOR HOLMES NORTON,direct,matched,person-name,200000.0,2
Rep. Emily Randall (D-WA),crypto_native,EMILY RANDALL,direct,matched,person-name,1000.0,1
Rep. Eric Sorensen (D-IL),crypto_native,REP. ERIC SORENSEN,direct,matched,person-name,2000.0,2
Rep. Erin Houchin (R-IN),crypto_native,REP. ERIN HOUCHIN,direct,matched,person-name,3000.0,3
Rep. Erin Houchin (R-IN),crypto_native,ERIN HOUCHIN,direct,matched,person-name,1000.0,1
Rep. Erin Houchin (R-IN),diversified_core,REP. ERIN HOUCHIN,direct,matched,person-name,97750.0,47
Rep. Erin Houchin (R-IN),diversified_core,ERIN HOUCHIN,direct,matched,person-name,77500.0,44
Rep. Eugene Simon Vindman (D-VA),crypto_native,REP. EUGENE VINDMAN,direct,matched,person-name,2500.0,3
Rep. Frank D. Lucas (R-OK),diversified_core,REP. FRANK LUCAS,direct,matched,person-name,84500.0,34
Rep. Frank D. Lucas (R-OK),diversified_core,FRANK LUCAS,direct,matched,person-name,67000.0,26
"Rep. Frank Pallone, Jr. (D-NJ)",crypto_native,REP. FRANK PALLONE,direct,matched,person-name,250.0,1
"Rep. Frank Pallone, Jr. (D-NJ)",diversified_core,REP. FRANK PALLONE,direct,matched,person-name,57500.0,17
Rep. Gabe Amo (D-RI),crypto_native,REP. GABE AMO,direct,matched,person-name,1000.0,1
Rep. Gabe Vasquez (D-NM),crypto_native,REP. GABE VASQUEZ,direct,matched,person-name,1500.0,2
Rep. Gabe Vasquez (D-NM),crypto_native,REP. GABRIEL VASQUEZ,direct,matched,person-name,500.0,1
Rep. George Whitesides (D-CA),crypto_native,REP. GEORGE WHITESIDES,direct,matched,person-name,1000.0,2
Rep. Glenn Ivey (D-MD),crypto_native,REP. GLENN IVEY,direct,matched,person-name,1000.0,1
