member (merged row in the split CSV),party_source,giver_slice,raw_recipient_string_as_filed,total,items
Rep. Patrick McHenry (R-NC),manual,diversified_core,REP PATRICK MCHENRY,73500.0,19
Rep. Pete Aguilar (D-CA),members-table,crypto_native,REP. PETE AGUILAR,2500.0,1
Rep. Pete Aguilar (D-CA),members-table,diversified_core,REP. PETE AGUILAR,160000.0,46
Rep. Pete Aguilar (D-CA),members-table,diversified_core,PETE AGUILAR,112000.0,38
Rep. Pete Aguilar (D-CA),members-table,diversified_core,REP PETE AGUILAR,71000.0,21
Rep. Randy Feenstra (R-IA),members-table,crypto_native,REP. RANDALL FEENSTRA,1000.0,1
Rep. Randy Feenstra (R-IA),members-table,diversified_core,REP. RANDY FEENSTRA,72095.0,37
Rep. Randy Feenstra (R-IA),members-table,diversified_core,REP RANDY FEENSTRA,53000.0,16
Rep. Richard E. Neal (D-MA),members-table,crypto_native,REP. RICHARD NEAL,500.0,1
Rep. Richard E. Neal (D-MA),members-table,diversified_core,RICHARD NEAL,185500.0,52
Rep. Richard E. Neal (D-MA),members-table,diversified_core,REP. RICHARD NEAL,172000.0,47
Rep. Richard E. Neal (D-MA),members-table,diversified_core,REP. RICHARD EDMUND NEAL,119000.0,33
Rep. Richard E. Neal (D-MA),members-table,diversified_core,REP RICHARD NEAL,53000.0,15
Rep. Richard Hudson (R-NC),members-table,diversified_core,REP RICHARD HUDSON,87000.0,20
Rep. Richard Hudson (R-NC),members-table,diversified_core,RICHARD HUDSON,57500.0,21
Rep. Rick Larsen (D-WA),members-table,diversified_core,REP. RICK LARSEN,64500.0,27
Rep. Ritchie Torres (D-NY),members-table,crypto_native,REP. RITCHIE TORRES,16000.0,7
Rep. Ritchie Torres (D-NY),members-table,crypto_native,RITCHIE TORRES,3500.0,3
Rep. Ritchie Torres (D-NY),members-table,crypto_native,REP. RITCHIE JOHN TORRES,1500.0,1
Rep. Ritchie Torres (D-NY),members-table,crypto_native,REP. RICHIE TORRES,500.0,1
Rep. Ritchie Torres (D-NY),members-table,diversified_core,REP. RITCHIE TORRES,115900.0,51
