quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q1,2022-03-17,Charles E. Schumer,Democrat,NY,Senate,SCHUMER DELIVERS OVER $2.75 MILLION FOR WAVERLY CENTRAL SCHOOL DISTRICT TO CREATE CHEMUNG CENTER FOR INNOVATION; SENATOR-SECURED FUNDING WILL TRANSFORM ABANDONED SCHOOL BUILDING INTO SITE FOR STEM JOB...,https://www.schumer.senate.gov/newsroom/press-releases/schumer-delivers-over-275-million-for-waverly-central-school-district-to-create-chemung-center-for-innovation-senator-secured-funding-will-transform-abandoned-school-building-into-site-for-stem-job-training-for-high-school-students-providing-skills-to-obtain-good-paying-careers-and-bolstering-next-generation-of-southern-tier-workforce-,congress_press/2022/2022-03.jsonl,1507
2022-Q1,2022-03-20,Vern Buchanan,Republican,FL,House,Buchanan Unveils 8-Point Plan For Energy Independence,https://buchanan.house.gov/2022/3/buchanan-unveils-8-point-plan-energy-independence,congress_press/2022/2022-03.jsonl,1619
2022-Q1,2022-03-22,Charles E. Schumer,Democrat,NY,Senate,"SCHUMER, GILLIBRAND ANNOUNCE OVER $4 MILLION FOR ITHACA & TOMPKINS COUNTY LOCAL INFRASTRUCTURE PROJECTS IN OMNIBUS SPENDING PACKAGE; FUNDING WILL REPLACE CRUMBLING BRIDGES, BOLSTER DOWNTOWN ECONOMIC...",https://www.schumer.senate.gov/newsroom/press-releases/schumer-gillibrand-announce-over-4-million-for-ithaca-and-tompkins-county-local-infrastructure-projects-in-omnibus-spending-package-funding-will-replace-crumbling-bridges-bolster-downtown-economic-development-and-accelerate-ithacas-green-energy-goals,congress_press/2022/2022-03.jsonl,1741
2022-Q1,2022-03-23,Brian Schatz,Democrat,HI,Senate,Moloka‘i Clean Energy Cooperative Selected To Receive Federal Support,https://www.schatz.senate.gov/news/press-releases/molokai-clean-energy-cooperative-selected-to-receive-federal-support,congress_press/2022/2022-03.jsonl,1807
2022-Q1,2022-03-24,Lauren Boebert,Republican,CO,House,Nine Boebert Legislative Wins for Colorado Signed into Law,https://boebert.house.gov/media/press-releases/nine-boebert-legislative-wins-colorado-signed-law,congress_press/2022/2022-03.jsonl,1821
2022-Q1,2022-03-25,Vicente Gonzalez,Democrat,TX,House,Congressman Gonzalez Joins Colleagues to Introduce Bipartisan Bill to Ban Russian Uranium Imports,https://gonzalez.house.gov/media/press-releases/congressman-gonzalez-joins-colleagues-introduce-bipartisan-bill-ban-russian,congress_press/2022/2022-03.jsonl,1906
2022-Q1,2022-03-25,Pete Stauber,Republican,MN,House,"Stauber, Colleagues Introduce Bipartisan Bill to Ban Uranium Imports from Russia",https://stauber.house.gov/media/press-releases/stauber-colleagues-introduce-bipartisan-bill-ban-uranium-exports-russia,congress_press/2022/2022-03.jsonl,1924
2022-Q1,2022-03-28,Dan Sullivan,Republican,AK,Senate,"Sens. Sullivan, Cramer, Lummis Urge Biden Administration to Implement “American Energy, Jobs & Climate Plan”",https://www.sullivan.senate.gov/newsroom/press-releases/sens-sullivan-cramer-lummis-urge-biden-administration-to-implement-american-energy-jobs-and-climate-plan,congress_press/2022/2022-03.jsonl,2004
2022-Q1,2022-03-29,Kathy Castor,Democrat,FL,House,Sickles HS student artwork will be showcased in the U.S. Capitol,https://castor.house.gov/news/documentsingle.aspx?DocumentID=403814,congress_press/2022/2022-03.jsonl,2028
2022-Q1,2022-03-30,Lori Trahan,Democrat,MA,House,Trahan Applauds Lawrence As One of 22 Communities Selected for Energy Department’s Local Energy Action Program,https://trahan.house.gov/news/documentsingle.aspx?DocumentID=2432,congress_press/2022/2022-03.jsonl,2185
