recipient_raw,items,total
"HON. ANN MCLANE KUSTER, HON. SHARICE DAVIDS, HON. DEREK KILMER, HON. BRAD SCHNEIDER, HON. SALUD CARBAJAL, HON. MARC VEASEY, HON. MARILYN STRICKLAND, HON. NIKKI BUDZINSKI, HON. SUSIE LEE, HON. DELBENE",1,50000.0
JOHN F. KENNEDY PROFILE IN COURAGE AWARD,1,50000.0
JOHNSON LEADERSHIP FUND,4,50000.0
MCCARTHY,1,50000.0
SEN. TIMOTHY MICHAEL KAINE,19,50000.0
SUSTAINABLE ENERGY AND ENVIRONMENT COALITION INSTITUTE,1,50000.0
TRUMP VANCE INAUGURAL COMMITTEE INC,1,50000.0
REP. JAY OBERNOLTE,32,49595.0
REP. BRIAN FITZPATRICK,19,49500.0
EQUALITY PAC,15,49250.0
DON BACON,23,49000.0
JAMES CLYBURN,17,49000.0
JOE MORELLE,21,49000.0
LISA MCCLAIN,30,49000.0
REP ANN WAGNER,20,49000.0
"REP. THOMAS EARL EMMER, JR",18,49000.0
S. RAJA KRISHNAMOORTHI,18,49000.0
REP. JOHN JAMES,24,48500.0
SEN. PATRICIA LYNN MURRAY,17,48500.0
BRIAN FITZPATRICK,22,48000.0
REP. MARC A. VEASEY,28,48000.0
REP. MARC VEASEY,11,48000.0
SEN. JOHN THUNE,16,47595.0
MIKE CAREY,28,47500.0
REP. JASMINE CROCKET,1,47500.0
REP. KEVIN OWEN MCCARTHY,11,47500.0
REP. LISA MCCLAIN,14,47500.0
SEN. MARK ROBERT WARNER,14,47500.0
BETTY MCCOLLUM,20,47150.0
SEN. KYRSTEN SINEMA,19,46590.0
ADRIAN SMITH,21,46500.0
JOHN CORNYN,15,46500.0
MARK WARNER,28,46500.0
REP MIKE BOST,21,46500.0
REP. PAUL DAVID TONKO,21,46500.0
REP. THOMAS JEFFERY COLE,22,46500.0
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,4,46000.0
REP. MICHAEL DENNIS ROGERS,17,45500.0
DCCC BUILDING FUND,1,45000.0
DSCC BUILDING FUND,1,45000.0
NRCC BUILDING FUND,1,45000.0
NRSC BUILDING FUND,1,45000.0
POWERPAC OF THE EDISON ELECTRIC INSTITUTE,13,45000.0
REP. JULIA LETLOW,30,45000.0
REPUBLICAN NATIONAL COMMITTEE,3,45000.0
RON ESTES,21,45000.0
REP. DONALD W. NORCROSS,19,44750.0
REP. SAM GRAVES,25,44550.0
"HUDSON, RICHARD",14,44500.0
REP. JOHN R. CURTIS,25,44500.0
"REP. MICHAEL THOMAS MCCAUL, SR",19,44500.0
REP. ROBERT E. LATTA,22,44500.0
REP. BILL HUIZENGA,17,44185.0
REP. BRUCE E. WESTERMAN,20,44000.0
ROB WITTMAN,15,44000.0
SEN. JOHN NICHOLS BOOZMAN,14,44000.0
SEN. MICHAEL SHUMWAY LEE,13,44000.0
TIM KAINE,24,43850.0
"MCMORRIS RODGERS, CATHY",17,43500.0
MIKE THOMPSON,17,43500.0
SEN. KATIE BOYD BRITT,14,43500.0
"THUNE, JOHN",16,43500.0
TODD YOUNG,15,43500.0
FRANK PALLONE,16,43000.0
REP. GREGORY WELDON MEEKS,20,43000.0
REP. STEVEN HORSFORD,14,43000.0
SEN. MICHAEL DEAN CRAPO,14,43000.0
SEN. ALEX PADILLA,14,42500.0
SEN. DANIEL SCOTT SULLIVAN,11,42500.0
SEN. MARCO ANTONIO RUBIO,16,42500.0
BRAD SCHNEIDER,21,42000.0
NICOLE MALLIOTAKIS,19,42000.0
RUBEN GALLEGO,17,42000.0
KATHY CASTOR,16,41600.0
REP. TIM WALBERG,19,41500.0
JERRY MORAN,16,41250.0
"CLYBURN, JAMES",12,41000.0
RANDY FEENSTRA,17,41000.0
REP. MARILYN STRICKLAND,21,41000.0
REP. STEPHEN ALLEN WOMACK,16,41000.0
