client,shared_distinctive_bills,filings_on_those_bills,bills
Amazon Web Services,10,22,HR4664; HR4665; HR4891; HR5009; HR8771; HR8773; S2438; S2625; S4797; S4928
MICHIGAN STATE UNIV,10,22,HR4779; HR6000; HR8239; HR8282; HR8771; S3293; S4660; S4661; S4662; S4797
American Chemistry Council,10,21,HR1848; HR5009; HR8034; HR815; HR8239; HR8773; S1829; S3293; S4660; SJRES19
General Atomics,10,20,HR4665; HR4779; HR5009; HR8282; HR8771; S2438; S2625; S3293; S4660; S4797
AARP,10,19,HR3774; HR4664; HR5166; HR8239; HR8773; S2120; S2438; S3290; S4661; S4928
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES,10,19,HR4664; HR5525; HR6000; HR6015; HR7147; HR815; HR9494; HR9495; S510; SJRES22
American Medical Association,9,38,HJRES75; HR1218; HR4681; HR5525; HR6000; HR6230; HR6617; HRES1102; S1390
American Council on Education,9,32,HR1048; HR5525; HR5933; HR6090; HR6617; HR8239; S3362; S4127; S558
University of Illinois,9,29,HR8239; HR8282; HR8771; S2625; S3293; S4660; S4661; S4678; S4797
American Public Transportation Association,9,29,HJRES75; HR5009; HR6046; HR6365; HR6617; HR7147; HR7223; HR867; S4389
INSTITUTE OF INTERNATIONAL EDUCATION,9,23,HR4665; HR4779; HR5300; HR8282; HR8771; S2438; S4653; S4662; S4797
NATURE CONSERVANCY,9,23,HR1809; HR4779; HR5009; HR8771; S1521; S1889; S2438; S3293; S4797
AMERICAN FEDERATION OF TEACHERS,9,21,HCONRES38; HR1229; HR3907; HR4664; HR6617; HR7147; HR9495; S558; SJRES22
Campaign for Tobacco-Free Kids,8,33,HR4665; HR4779; HR8239; HR8771; HR8773; S2438; S4661; S4797
American Property Casualty Insurance Association,8,31,HR4664; HR5166; HR5961; HR6365; HR8773; S1981; S4928; S558
American Heart Association,8,30,HR3907; HR4665; HR8239; HR8282; HR8771; S2438; S4661; S4662
America's Health Insurance Plans (AHIP),8,30,HR1218; HR1848; HR2590; HR2741; HR340; HR7147; S1637; S4554
"Charter Communications, Inc.",8,29,HR1848; HR3565; HR6046; HR8239; HR8773; S3197; S4661; S4928
COMMON CAUSE,8,29,HCONRES38; HR23; HR2659; HR589; HR7147; S2626; S3912; SJRES25
PARALYZED VETERANS OF AMERICA,8,28,HCONRES7; HR5009; HR5039; HR5947; HR7217; HR7256; S3290; S3293
"Puerto Verde Holdings, LLC",8,25,HR4665; HR4779; HR8771; HR8773; S2438; S2625; S4797; S4928
Cornell University,8,25,HR1048; HR4665; HR5302; HR5933; HR8239; HR8282; HR8771; S2438
Earthjustice,8,24,HJRES49; HR4664; HR6408; HR8038; HR8239; HR8771; S3451; SJRES23
THE OHIO STATE UNIVERSITY,8,24,HR5166; HR5933; HR8239; S3290; S3293; S3362; S4660; S4661
Science Applications International Corporation,8,23,HR4664; HR4665; HR8034; HR8773; S2438; S2625; S4797; S4928
Microsoft Corporation,8,21,HJRES75; HR1218; HR3565; HR4891; HR5166; HR6617; HR9494; S3290
National Mining Association,8,19,HJRES49; HJRES69; HR4664; HR6365; HR8773; S4660; S4661; S4928
Duke Energy Corporation,8,18,HR1848; HR3565; HR8239; HR8773; S2625; S3293; S4678; S4928
DESERT RESEARCH INSTITUTE,8,16,HR4665; HR8282; HR8771; S2438; S3293; S4660; S4662; S4797
AMERICAN BAR ASSOCIATION,8,13,HR4664; HR4665; HR5525; HR8773; HR9495; S2667; S3900; S4928
FEDERATION FOR AMERICAN IMMIGRATION REFORM,8,10,HR5009; HR5525; HR6679; HR7147; HR815; HR8771; HR9494; S2625
