quarter,date,member_name,party,state,title,url,src_file,src_line
2025-Q2,2025-06-01,Jamie Raskin,Democrat,MD,Raskin Statement on the 75th Anniversary of Senator Margaret Chase Smith’s Declaration of Conscience,https://raskin.house.gov/2025/6/raskin-statement-on-the-75th-anniversary-of-senator-margaret-chase-smith-s-declaration-of-conscience,congress_press/2025/2025-06.jsonl,8
2025-Q2,2025-06-05,Richard J. Durbin,Democrat,IL,Durbin Delivers Opening Statement During Senate Judiciary Committee Executive Business Meeting,https://www.durbin.senate.gov/newsroom/press-releases/06/05/2025/durbin-delivers-opening-statement-during-senate-judiciary-committee-executive-business-meeting,congress_press/2025/2025-06.jsonl,647
2025-Q2,2025-06-08,Nanette Diaz Barragán,Democrat,CA,"Politico: After Trump sends in National Guard, Dems object and Republicans blame Gavin Newsom",https://barragan.house.gov/2025/06/08/politico-after-trump-sends-in-national-guard-dems-object-and-republicans-blame-gavin-newsom/,congress_press/2025/2025-06.jsonl,893
2025-Q2,2025-06-09,Veronica Escobar,Democrat,TX,Congresswoman Escobar Statement on Deployment of Marines to Los Angeles,https://escobar.house.gov/news/documentsingle.aspx?DocumentID=1890,congress_press/2025/2025-06.jsonl,932
2025-Q2,2025-06-10,John Kennedy,Republican,LA,Congressman Kennedy Statement on President Trump’s Threat to Arrest California Governor Gavin Newsom and Deployment of U.S. Marines to Los A,https://kennedy.house.gov/news/documentsingle.aspx?DocumentID=1278,congress_press/2025/2025-06.jsonl,1115
2025-Q2,2025-06-10,Chip Roy,Republican,TX,Rep. Roy Celebrates the Advancement of the FACE Act Repeal Act,https://roy.house.gov/media/press-releases/rep-roy-celebrates-advancement-face-act-repeal-act,congress_press/2025/2025-06.jsonl,1158
2025-Q2,2025-06-10,Richard J. Durbin,Democrat,IL,"In Senate Floor Speech, Durbin Denounces Political Violence, Criticizes Trump's Decision To Deploy National Guard Troops To California Witho",https://www.durbin.senate.gov/newsroom/press-releases/in-senate-floor-speech-durbin-denounces-political-violence-criticizes-trumps-decision-to-deploy-national-guard-troops-to-california-without-consent-of-california-state-officials,congress_press/2025/2025-06.jsonl,1218
2025-Q2,2025-06-12,Richard J. Durbin,Democrat,IL,Durbin Delivers Opening Statement During Senate Judiciary Committee Executive Business Meeting On Trump's Efforts To Whitewash January 6,https://www.durbin.senate.gov/newsroom/press-releases/durbin-delivers-opening-statement-during-senate-judiciary-committee-executive-business-meeting-on-trumps-efforts-to-whitewash-january-6,congress_press/2025/2025-06.jsonl,1767
2025-Q2,2025-06-12,Richard J. Durbin,Democrat,IL,Durbin Presses Attorney General On Ed Martin's Planned Partisan Weaponization Of Justice Department,https://www.durbin.senate.gov/newsroom/press-releases/durbin-presses-attorney-general-on-ed-martins-planned-partisan-weaponization-of-justice-department,congress_press/2025/2025-06.jsonl,1771
2025-Q2,2025-06-12,Christopher Murphy,Democrat,CT,Murphy to Defense Secretary Hegseth: You Are Not Willing to Defend Our Democracy,https://www.murphy.senate.gov/newsroom/press-releases/murphy-to-defense-secretary-hegseth-you-are-not-willing-to-defend-our-democracy,congress_press/2025/2025-06.jsonl,1817
2025-Q2,2025-06-17,Alex Padilla,Democrat,CA,WATCH: Padilla Delivers Floor Speech Following His Forcible Removal From DHS Press Conference,https://www.padilla.senate.gov/newsroom/press-releases/watch-padilla-delivers-floor-speech-following-his-forcible-removal-from-dhs-press-conference/,congress_press/2025/2025-06.jsonl,2358
2025-Q2,2025-06-18,Richard J. Durbin,Democrat,IL,"Durbin: Instead Of Conducting Critical Oversight, Judiciary Committee Republicans Are Holding Partisan Hearing Armchair Diagnosing Former Pr",https://www.durbin.senate.gov/newsroom/press-releases/durbin-instead-of-conducting-critical-oversight-judiciary-committee-republicans-are-holding-partisan-hearing-armchair-diagnosing-former-president-biden,congress_press/2025/2025-06.jsonl,2524
2025-Q2,2025-06-18,Josh Hawley,Republican,MO,"Hawley Calls on Biden to Release Autopen Consent Records, Grills Democrats for Covering Up Biden’s Cognitive Decline",https://www.hawley.senate.gov/hawley-calls-on-biden-to-release-autopen-consent-records-grills-democrats-for-covering-up-bidens-cognitive-decline/,congress_press/2025/2025-06.jsonl,2534
2025-Q2,2025-06-23,"Frank Pallone, Jr.",Democrat,NJ,Pallone Demands Speaker Johnson Follow the Law to Honor New Jersey State Police & All Law Enforcement Who Protected the Capitol on January 6,https://pallone.house.gov/media/press-releases/pallone-demands-speaker-johnson-follow-law-honor-new-jersey-state-police-all,congress_press/2025/2025-06.jsonl,2940
2025-Q2,2025-06-24,Tammy Baldwin,Democrat,WI,"On 3rd Anniversary of Roe Being Overturned, Baldwin, Blumenthal, and Murray Lead Senate Dems in a Bill to Restore Abortion Access Nationwide",https://www.baldwin.senate.gov/news/press-releases/on-3rd-anniversary-of-roe-being-overturned-baldwin-blumenthal-and-murray-lead-senate-dems-in-a-bill-to-restore-abortion-access-nationwide,congress_press/2025/2025-06.jsonl,3163
2025-Q2,2025-06-24,Richard Blumenthal,Democrat,CT,"Blumenthal Calls to Strengthen Protections Against Physical Attacks on Nurses, Doctors & Patients Seeking Reproductive Health Care",https://www.blumenthal.senate.gov/newsroom/press/release/blumenthal-calls-to-strengthen-protections-against-physical-attacks-on-nurses-doctors-and-patients-seeking-reproductive-health-care,congress_press/2025/2025-06.jsonl,3169
2025-Q2,2025-06-24,Richard Blumenthal,Democrat,CT,"Blumenthal, Murphy & Democratic Caucus Introduce Bill to Restore Abortion Access Nationwide on 3rd Anniversary of Roe Being Overturned",https://www.blumenthal.senate.gov/newsroom/press/release/blumenthal-murphy-and-democratic-caucus-introduce-bill-to-restore-abortion-access-nationwide-on-3rd-anniversary-of-roe-being-overturned,congress_press/2025/2025-06.jsonl,3170
2025-Q2,2025-06-24,Tammy Duckworth,Democrat,IL,"On the 3rd Anniversary of Roe Being Overturned, Duckworth, Durbin Help Introduce Bill to Restore Abortion Access Nationwide",https://www.duckworth.senate.gov/news/press-releases/on-the-3rd-anniversary-of-roe-being-overturned-duckworth-durbin-help-introduce-bill-to-restore-abortion-access-nationwide-on-the-3rd-anniversary-of-roe-being-overturned-duckworth-durbin-help-introduce-bill-to-restore-abortion-access-nationwide,congress_press/2025/2025-06.jsonl,3190
2025-Q2,2025-06-24,Richard J. Durbin,Democrat,IL,Durbin Delivers Opening Statement In Senate Judiciary Committee Hearing On Protecting Americans From Cartels,https://www.durbin.senate.gov/newsroom/press-releases/durbin-delivers-opening-statement-in-senate-judiciary-committee-hearing-on-protecting-americans-from-cartels,congress_press/2025/2025-06.jsonl,3191
2025-Q2,2025-06-24,Mazie K. Hirono,Democrat,HI,"At Dobbs Spotlight Forum, Hirono, Senate Democrats Highlight Trump & Republicans’ Backdoor Abortion Ban & Efforts to Rip Away Reproductive H",https://www.hirono.senate.gov/news/press-releases/at-dobbs-spotlight-forum-hirono-senate-democrats-highlight-trump-and-republicans-backdoor-abortion-ban_efforts-to-rip-away-reproductive-health-care-nationwide,congress_press/2025/2025-06.jsonl,3210
2025-Q2,2025-06-24,Christopher Murphy,Democrat,CT,"Murphy, Blumenthal, Democratic Caucus Introduce Bill to Restore Abortion Access Nationwide on 3rd Anniversary of Roe Being Overturned",https://www.murphy.senate.gov/newsroom/press-releases/murphy-blumenthal-democratic-caucus-introduce-bill-to-restore-abortion-access-nationwide-on-3rd-anniversary-of-roe-being-overturnedmurphy-blumenthal-democratic-caucus-introduce-bill-to-restore-abortion-access-nationwide-on-3rd-anniversary-of-roe-being-overturned,congress_press/2025/2025-06.jsonl,3228
2025-Q2,2025-06-24,Alex Padilla,Democrat,CA,"On Third Anniversary of Roe Being Overturned, Padilla Joins Senate Democrats in Introducing Bill to Restore Abortion Access Nationwide",https://www.padilla.senate.gov/newsroom/press-releases/on-third-anniversary-of-roe-being-overturned-padilla-joins-senate-democrats-in-introducing-bill-to-restore-abortion-access-nationwide/,congress_press/2025/2025-06.jsonl,3229
2025-Q2,2025-06-24,Chris Van Hollen,Democrat,MD,"At Dobbs Spotlight Forum, Van Hollen Joins Murray, Senate Democrats, in Highlighting Trump & Republicans’ Backdoor Abortion Ban & Efforts to",https://www.vanhollen.senate.gov/news/press-releases/at-dobbs-spotlight-forum-van-hollen-joins-murray-senate-democrats-in-highlighting-trump-and-republicans-backdoor-abortion-ban_efforts-to-rip-away-reproductive-health-care-nationwide,congress_press/2025/2025-06.jsonl,3249
2025-Q2,2025-06-25,Richard J. Durbin,Democrat,IL,Durbin Questions Emil Bove In Senate Judiciary Committee Judicial Nominations Hearing,https://www.durbin.senate.gov/newsroom/press-releases/durbin-questions-emil-bove-in-senate-judiciary-committee-judicial-nominations-hearing,congress_press/2025/2025-06.jsonl,3452
2025-Q2,2025-06-25,Alex Padilla,Democrat,CA,Padilla Blasts Judicial Nominee Emil Bove for Holding Loyalty to Trump Above the Rule of Law,https://www.padilla.senate.gov/newsroom/press-releases/padilla-blasts-judicial-nominee-emil-bove-for-holding-loyalty-to-trump-above-the-rule-of-law/,congress_press/2025/2025-06.jsonl,3491
2025-Q2,2025-06-25,Chris Van Hollen,Democrat,MD,Van Hollen to Bondi: We Are Witnessing a Level of Lawlessness from This Administration That is Unprecedented in Scale and Scope,https://www.vanhollen.senate.gov/news/press-releases/van-hollen-to-bondi-we-are-witnessing-a-level-of-lawlessness-from-this-administration-that-is-unprecedented-in-scale-and-scope,congress_press/2025/2025-06.jsonl,3509
2025-Q2,2025-06-25,Ron Wyden,Democrat,OR,"On Third Anniversary of Roe Being Overturned, Merkley and Wyden Join Bill to Restore Abortion Access Nationwide",https://www.wyden.senate.gov/news/press-releases/on-third-anniversary-of-roe-being-overturned-merkley-and-wyden-join-bill-to-restore-abortion-access-nationwide,congress_press/2025/2025-06.jsonl,3515
2025-Q2,2025-06-27,Richard Blumenthal,Democrat,CT,Senator Blumenthal: Week in Review 6/20/2025-6/27/2025,https://www.blumenthal.senate.gov/newsroom/press/release/senator-blumenthal-week-in-review-6/20/2025-6/27/2025,congress_press/2025/2025-06.jsonl,3919
2025-Q3,2025-07-08,Kathy Castor,Democrat,FL,Castor Urges Justice Department to Reinstate Prosecutor in Major Florida Fraud Case,https://castor.house.gov/news/documentsingle.aspx?DocumentID=404984,congress_press/2025/2025-07.jsonl,728
2025-Q3,2025-07-14,John Cornyn,Republican,TX,Cornyn Statement on Biden Autopen Interview,https://www.cornyn.senate.gov/news/cornyn-statement-on-biden-autopen-interview/,congress_press/2025/2025-07.jsonl,1432
2025-Q3,2025-07-15,Addison P. McDowell,Republican,NC,McDowell Introduces BIDEN Act to End the Abuse of the Presidential Autopen,https://mcdowell.house.gov/media/press-releases/mcdowell-introduces-biden-act-end-abuse-presidential-autopen,congress_press/2025/2025-07.jsonl,1590
2025-Q3,2025-07-15,Elizabeth Warren,Democrat,MA,"New Warren Report Exposes Potential Trump Corruption, Bribery Through Presidential Library Donations",https://www.warren.senate.gov/newsroom/press-releases/new-warren-report-exposes-potential-trump-corruption-bribery-through-presidential-library-donations,congress_press/2025/2025-07.jsonl,1706
2025-Q3,2025-07-16,Dave Min,Democrat,CA,Representatives Dave Min and Sean Casten Call For Inquiries into the Potential Misconduct of U.S. Pardon Attorney Ed Martin and U.S. Princip,https://min.house.gov/media/press-releases/representatives-dave-min-and-sean-casten-call-inquiries-potential-misconduct,congress_press/2025/2025-07.jsonl,1800
2025-Q3,2025-07-16,Elizabeth Warren,Democrat,MA,"Warren, Moskowitz, Blumenthal, Raskin, Stansbury Introduce New Bill to Rein in Potential Corruption Through Presidential Library Donations",https://www.warren.senate.gov/newsroom/press-releases/warren-moskowitz-blumenthal-raskin-stansbury-introduce-new-bill-to-rein-in-potential-corruption-through-presidential-library-donations,congress_press/2025/2025-07.jsonl,1946
2025-Q3,2025-07-17,Ron Johnson,Republican,WI,Sen Johnson Requests Records on Former President Biden’s Declining Mental and Physical Health,https://www.ronjohnson.senate.gov/2025/7/sen-johnson-requests-records-on-former-president-biden-s-declining-mental-and-physical-health,congress_press/2025/2025-07.jsonl,2234
2025-Q3,2025-07-21,Ron Wyden,Democrat,OR,"Wyden, Merkley Introduce Legislation Targeting The Use of Presidential Libraries as Tools for Corruption",https://www.wyden.senate.gov/news/press-releases/wyden-merkley-introduce-legislation-targeting-the-use-of-presidential-libraries-as-tools-for-corruption,congress_press/2025/2025-07.jsonl,2700
2025-Q3,2025-07-22,Daniel S. Goldman,Democrat,NY,Statement by Rep. Dan Goldman on DOJ’s Announcement That It Would Meet With Ghislaine Maxwell,https://goldman.house.gov/media/press-releases/statement-rep-dan-goldman-dojs-announcement-it-would-meet-ghislaine-maxwell,congress_press/2025/2025-07.jsonl,2759
2025-Q3,2025-07-23,Richard J. Durbin,Democrat,IL,"Durbin, Blumenthal, Scanlon Introduce Bicameral Corporate Crime Database Act",https://www.durbin.senate.gov/newsroom/press-releases/durbin-blumenthal-scanlon-introduce-bicameral-corporate-crime-database-act,congress_press/2025/2025-07.jsonl,3128
2025-Q3,2025-07-28,Richard J. Durbin,Democrat,IL,"Durbin, Whitehouse Press For Public Commitments From Deputy Attorney General After Meeting With Ghislaine Maxwell",https://www.durbin.senate.gov/newsroom/press-releases/durbin-whitehouse-press-for-public-commitments-from-deputy-attorney-general-after-meeting-with-ghislaine-maxwell,congress_press/2025/2025-07.jsonl,3754
2025-Q3,2025-07-28,Jack Reed,Democrat,RI,Reed & Whitehouse: Presidential Libraries Shouldn’t be Used to Funnel Illicit Gifts,https://www.reed.senate.gov/news/releases/reed-and-whitehouse-presidential-libraries-shouldnt-be-used-to-funnel-illicit-gifts,congress_press/2025/2025-07.jsonl,3774
2025-Q3,2025-07-30,Richard J. Durbin,Democrat,IL,Durbin Questions Judicial Nominees During Senate Judiciary Committee Hearing,https://www.durbin.senate.gov/newsroom/press-releases/durbin-questions-judicial-nominees-during-senate-judiciary-committee-hearing,congress_press/2025/2025-07.jsonl,4149
2025-Q3,2025-07-31,Richard J. Durbin,Democrat,IL,"Durbin, Duckworth Join Colleagues In Demanding Public Release Of Epstein Files",https://www.durbin.senate.gov/newsroom/press-releases/durbin-duckworth-join-colleagues-in-demanding-public-release-of-epstein-files,congress_press/2025/2025-07.jsonl,4353
2025-Q3,2025-07-31,Jack Reed,Democrat,RI,Reed Presses for Release of Epstein Files,https://www.reed.senate.gov/news/releases/reed-presses-for-release-of-epstein-files,congress_press/2025/2025-07.jsonl,4409
2025-Q3,2025-08-02,Richard J. Durbin,Democrat,IL,Durbin Joins Senator Merkley In Floor Block Calling On The Trump Administration Release The Epstein Files,https://www.durbin.senate.gov/newsroom/press-releases/durbin-joins-senator-merkley-in-floor-block-calling-on-the-trump-administration-release-the-epstein-files,congress_press/2025/2025-08.jsonl,217
2025-Q3,2025-08-02,Jack Reed,Democrat,RI,Reed Statement on “Unusual” Prisoner Transfer of Ghislaine Maxwell,https://www.reed.senate.gov/news/releases/reed-statement-on-unusual-prisoner-transfer-of-ghislaine-maxwell,congress_press/2025/2025-08.jsonl,227
2025-Q3,2025-08-05,Raja Krishnamoorthi,Democrat,IL,Congressman Krishnamoorthi Introduces Resolution Opposing Clemency for Jeffrey Epstein’s Co-Conspirator Ghislaine Maxwell,https://krishnamoorthi.house.gov/media/press-releases/congressman-krishnamoorthi-introduces-resolution-opposing-clemency-jeffrey,congress_press/2025/2025-08.jsonl,387
2025-Q3,2025-08-05,Patty Murray,Democrat,WA,"Senator Murray, Patient Storytellers, and Providers from WA and Idaho Discuss Recent Republican Attacks on Abortion and Access to Health Car",https://www.murray.senate.gov/senator-murray-patient-storytellers-and-providers-from-wa-and-idaho-discuss-recent-republican-attacks-on-abortion-and-access-to-health-care-efforts-to-reverse-cuts/,congress_press/2025/2025-08.jsonl,469
2025-Q3,2025-08-11,"Donald S. Beyer, Jr.",Democrat,VA,National Capital Region Delegation Statement On Trump’s Police Actions In The District Of Columbia,https://beyer.house.gov/news/documentsingle.aspx?DocumentID=8616,congress_press/2025/2025-08.jsonl,892
2025-Q3,2025-08-11,"Robert C. ""Bobby"" Scott",Democrat,VA,Scott Statement on Trump Takeover of DC Police,https://bobbyscott.house.gov/media-center/press-releases/scott-statement-trump-takeover-dc-police,congress_press/2025/2025-08.jsonl,893
2025-Q3,2025-08-11,Sarah Elfreth,Democrat,MD,Elfreth Joins National Capital Region Delegation Condemning President Trump’s Police Actions In The District Of Columbia,https://elfreth.house.gov/media/press-releases/elfreth-joins-national-capital-region-delegation-condemning-president-trumps,congress_press/2025/2025-08.jsonl,909
2025-Q3,2025-08-11,Steny H. Hoyer,Democrat,MD,"Hoyer, National Capital Region Delegation Statement On Trump’s Police Actions In The District of Columbia",https://hoyer.house.gov/media/press-releases/hoyer-national-capital-region-delegation-statement-trumps-police-actions,congress_press/2025/2025-08.jsonl,914
2025-Q3,2025-08-11,April McClain Delaney,Democrat,MD,National Capital Region Delegation Statement On Trump’s Police Actions In The District Of Columbia,https://mcclaindelaney.house.gov/media/press-releases/national-capital-region-delegation-statement-trumps-police-actions-district,congress_press/2025/2025-08.jsonl,927
2025-Q3,2025-08-11,Suhas Subramanyam,Democrat,VA,National Capital Region Delegation Statement On Trump’s Police Actions In The District Of Columbia,https://subramanyam.house.gov/media/press-releases/national-capital-region-delegation-statement-trumps-police-actions-district,congress_press/2025/2025-08.jsonl,940
2025-Q3,2025-08-11,Eugene Simon Vindman,Democrat,VA,Vindman Joins National Capital Region Delegation Colleagues in Condemning Trump’s Police Actions in the District of Columbia,https://vindman.house.gov/2025/08/11/vindman-joins-national-capital-region-delegation-colleagues-in-condemning-trumps-police-actions-in-the-district-of-columbia/,congress_press/2025/2025-08.jsonl,945
2025-Q3,2025-08-11,Cory A. Booker,Democrat,NJ,Booker Statement Condemning Trump’s Decision to Deploy National Guard and Federalize D.C.’s Metropolitan Police Department,https://www.booker.senate.gov/news/press/booker-statement-condemning-trumps-decision-to-deploy-national-guard-and-federalize-dcs-metropolitan-police-department,congress_press/2025/2025-08.jsonl,949
2025-Q3,2025-08-11,Tim Kaine,Democrat,VA,Kaine Statement on President Trump Placing D.C. Police Department Under Federal Control and Deploying National Guard,https://www.kaine.senate.gov/press-releases/kaine-statement-on-president-trump-placing-dc-police-department-under-federal-control-and-deploying-national-guard,congress_press/2025/2025-08.jsonl,962
2025-Q3,2025-08-11,Patty Murray,Democrat,WA,"Senator Murray Statement on Trump Ordering National Guard to Washington, D.C. and Taking Control of Metropolitan Police Department",https://www.murray.senate.gov/senator-murray-statement-on-trump-ordering-national-guard-to-washington-d-c-and-taking-control-of-capital-police-department/,congress_press/2025/2025-08.jsonl,974
2025-Q3,2025-08-12,Yvette D. Clarke,Democrat,NY,"CONGRESSIONAL BLACK CAUCUS STATEMENT ON TRUMP SEIZING CONTROL OF D.C. POLICE, DEPLOYING NATIONAL GUARD",https://clarke.house.gov/congressional-black-caucus-statement-on-trump-seizing-control-of-d-c-police-deploying-national-guard/,congress_press/2025/2025-08.jsonl,989
2025-Q3,2025-08-12,Jennifer L. McClellan,Democrat,VA,National Capital Region Delegation Statement On Trump’s Police Actions In The District Of Columbia,https://mcclellan.house.gov/media/press-releases/national-capital-region-delegation-statement-trumps-police-actions-district,congress_press/2025/2025-08.jsonl,1007
2025-Q3,2025-08-15,Eleanor Holmes Norton,Democrat,DC,"Norton, Ranking Member Raskin, Ranking Member Garcia, Sen. Van Hollen Announce Introduction of Legislation Terminating Trump’s Unprecedented",https://norton.house.gov/media/press-releases/norton-ranking-member-raskin-ranking-member-garcia-sen-van-hollen-announce,congress_press/2025/2025-08.jsonl,1325
2025-Q3,2025-08-15,Elise M. Stefanik,Republican,NY,Stefanik Blasts Hochul for Secret Pardon of Violent Illegal Criminal,https://stefanik.house.gov/2025/8/stefanik-blasts-hochul-for-secret-pardon-of-violent-illegal-criminal,congress_press/2025/2025-08.jsonl,1333
2025-Q3,2025-08-20,Yvette D. Clarke,Democrat,NY,CLARKE INTRODUCES “MARCUS GARVEY LEGACY PACKAGE” TO EXONERATE AND COMMEMORATE MARCUS MOSIAH GARVEY,https://clarke.house.gov/clarke-introduces-marcus-garvey-legacy-package-to-exonerate-and-commemorate-marcus-mosiah-garvey/,congress_press/2025/2025-08.jsonl,1558
2025-Q3,2025-08-21,"Donald S. Beyer, Jr.",Democrat,VA,Beyer Blasts Trump’s Refusal To Enforce D.C. Gun Laws,https://beyer.house.gov/news/documentsingle.aspx?DocumentID=8625,congress_press/2025/2025-08.jsonl,1655
2025-Q3,2025-08-27,Martin Heinrich,Democrat,NM,"Heinrich, Luján Announce Introduction of Legislation to Restore Abortion Access Nationwide",https://www.heinrich.senate.gov/newsroom/press-releases/heinrich-lujan-announce-introduction-of-legislation-to-restore-abortion-access-nationwide,congress_press/2025/2025-08.jsonl,2132
2025-Q3,2025-08-27,Ben Ray Luján,Democrat,NM,"Heinrich, Luján Announce Introduction of Legislation to Restore Abortion Access Nationwide",https://www.lujan.senate.gov/newsroom/press-releases/heinrich-lujan-announce-introduction-of-legislation-to-restore-abortion-access-nationwide/,congress_press/2025/2025-08.jsonl,2134
2025-Q3,2025-08-28,Elizabeth Warren,Democrat,MA,"Warren, Nadler, Dozens of Senate, House Lawmakers Open New Investigation Into Trump Administration’s Retreat from Enforcement of Corruption ",https://www.warren.senate.gov/newsroom/press-releases/warren-nadler-dozens-of-senate-house-lawmakers-open-new-investigation-into-trump-administrations-retreat-from-enforcement-of-corruption-laws,congress_press/2025/2025-08.jsonl,2249
2025-Q3,2025-09-03,Katherine M. Clark,Democrat,MA,Whip Clark: “Families at Home Deserve Better Than What They’re Getting From This GOP.”,https://katherineclark.house.gov/press-releases?ID=743E1BBE-E195-4420-991D-F629165FC90C,congress_press/2025/2025-09.jsonl,191
2025-Q3,2025-09-03,Eleanor Holmes Norton,Democrat,DC,Norton Releases Remarks from “No Troops on Our Streets” Press Conference,https://norton.house.gov/media/press-releases/norton-releases-remarks-no-troops-our-streets-press-conference,congress_press/2025/2025-09.jsonl,217
2025-Q3,2025-09-03,Norma J. Torres,Democrat,CA,Congresswoman Torres Condemns Republicans for Allowing Jan. 6 Insurrectionists to Hold Taxpayer-Funded Government Jobs at FY26 FSGG Markup,https://torres.house.gov/media-center/press-releases/09/04/2025/congresswoman-torres-condemns-republicans-for-allowing-jan-6-insurrectionists-to-hold-taxpayer-funded-government-jobs-at-fy26-fsgg-markup,congress_press/2025/2025-09.jsonl,241
2025-Q3,2025-09-03,Richard J. Durbin,Democrat,IL,Senate Judiciary Democrats Urge Firing Of Justice Department Employee And Insurrectionist Jared Wise,https://www.durbin.senate.gov/newsroom/press-releases/senate-judiciary-democrats-urge-firing-of-justice-department-employee-and-insurrectionist-jared-wise,congress_press/2025/2025-09.jsonl,276
2025-Q3,2025-09-08,Tim Kaine,Democrat,VA,"Kaine, Colleagues Introduce Legislation to Grant D.C. Full Control Over Its Police",https://www.kaine.senate.gov/press-releases/kaine-colleagues-introduce-legislation-to-grant-dc-full-control-over-its-police,congress_press/2025/2025-09.jsonl,859
2025-Q3,2025-09-09,Ted Cruz,Republican,TX,Cruz Letter to DOJ on Biden Pardons: “A Direct and Unprecedented Assault on Our Constitutional Order”,https://www.cruz.senate.gov/newsroom/press-releases/cruz-letter-to-doj-on-biden-pardons-a-direct-and-unprecedented-assault-on-our-constitutional-order,congress_press/2025/2025-09.jsonl,1026
2025-Q3,2025-09-10,Richard J. Durbin,Democrat,IL,Durbin Statement After Senate Republicans Voted Against Releasing The Epstein Files,https://www.durbin.senate.gov/newsroom/press-releases/durbin-statement-after-senate-republicans-voted-against-releasing-the-epstein-files,congress_press/2025/2025-09.jsonl,1308
2025-Q3,2025-09-15,Christopher Murphy,Democrat,CT,Murphy Releases New Report On Trump's Corrupt Alliance With Corporations That Break The Law To Raise Prices And Screw Over Consumers,https://www.murphy.senate.gov/newsroom/press-releases/murphy-releases-new-report-on-trumps-corrupt-alliance-with-corporations-that-break-the-law-to-raise-prices-and-screw-over-consumers,congress_press/2025/2025-09.jsonl,1986
2025-Q3,2025-09-18,Mazie K. Hirono,Democrat,HI,"Hirono, Colleagues Press DOJ on Trump Administration’s Binance Ties and Reported Plan to Drop Key Safeguards in Company’s $4.3 Billion Settl",https://www.hirono.senate.gov/news/press-releases/hirono-colleagues-press-doj-on-trump-administrations-binance-ties-and-reported-plan-to-drop-key-safeguards-in-companys-43-billion-settlement-and-plea-agreement,congress_press/2025/2025-09.jsonl,2658
2025-Q3,2025-09-19,Bill Foster,Democrat,IL,Foster Statement on Resolution Condemning Political Violence,https://foster.house.gov/media/press-releases/foster-statement-resolution-condemning-political-violence,congress_press/2025/2025-09.jsonl,2828
2025-Q3,2025-09-20,Christopher H. Smith,Republican,NJ,"Newsweek article on Smith's Wells-Hunt Act'Families of Americans Imprisoned in China on New Bill—""They Heard Us""'",https://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=415013,congress_press/2025/2025-09.jsonl,3119
2025-Q3,2025-09-26,Richard J. Durbin,Democrat,IL,"Following Comey Indictment, Durbin, Senate Judiciary Democrats Demand Answers On The Politicization Of DOJ As President Trump Pursues Crimin",https://www.durbin.senate.gov/newsroom/press-releases/following-comey-indictment-durbin-senate-judiciary-democrats-demand-answers-on-the-politicization-of-doj-as-president-trump-pursues-criminal-charges-against-his-political-enemies,congress_press/2025/2025-09.jsonl,3800
2025-Q3,2025-09-27,Hakeem S. Jeffries,Democrat,NY,"LEADER JEFFRIES: “IF THE GOVERNMENT SHUTS DOWN, IT’S BECAUSE REPUBLICANS HAVE MADE THE DECISION TO SHUT THE GOVERNMENT DOWN”",https://jeffries.house.gov/2025/09/27/leader-jeffries-if-the-government-shuts-down-its-because-republicans-have-made-the-decision-to-shut-the-government-down/,congress_press/2025/2025-09.jsonl,3855
2025-Q3,2025-09-30,Richard J. Durbin,Democrat,IL,Durbin Presses Witnesses On Diversion Of Critical Federal Resources To Support President Trump’s Cruel Mass Deportation Scheme,https://www.durbin.senate.gov/newsroom/press-releases/durbin-presses-witnesses-on-diversion-of-critical-federal-resources-to-support-president-trumps-cruel-mass-deportation-scheme,congress_press/2025/2025-09.jsonl,4227
2025-Q3,2025-09-30,Richard J. Durbin,Democrat,IL,"In Senate Judiciary Committee Hearing, Durbin Slams Trump Administration’s Deployment Of Military To American Cities, Discredits Narrative T",https://www.durbin.senate.gov/newsroom/press-releases/in-senate-judiciary-committee-hearing-durbin-slams-trump-administrations-deployment-of-military-to-american-cities-discredits-narrative-that-crime-is-only-a-blue-city-issue,congress_press/2025/2025-09.jsonl,4232
2025-Q3,2025-09-30,Mazie K. Hirono,Democrat,HI,"Hirono, Colleagues Demand Trump Administration Reject Cash Rewards for January 6 Rioters",https://www.hirono.senate.gov/news/press-releases/hirono-colleagues-demand-trump-administration-reject-cash-rewards-for-january-6-rioters,congress_press/2025/2025-09.jsonl,4253
2025-Q3,2025-09-30,Alex Padilla,Democrat,CA,"Padilla, Durbin, Klobuchar Lead Colleagues in Demanding Trump Administration Reject Cash Rewards for January 6 Rioters",https://www.padilla.senate.gov/newsroom/press-releases/padilla-durbin-klobuchar-lead-colleagues-in-demanding-trump-administration-reject-cash-rewards-for-january-6-rioters/,congress_press/2025/2025-09.jsonl,4283
2025-Q4,2025-10-01,Richard J. Durbin,Democrat,IL,"Calling Out Yesterday’s Partisan Hearing On Crime, Durbin Delivers Opening Statement During Senate Judiciary Committee Executive Business Me",https://www.durbin.senate.gov/newsroom/press-releases/calling-out-yesterdays-partisan-hearing-on-crime-durbin-delivers-opening-statement-during-senate-judiciary-committee-executive-business-meeting,congress_press/2025/2025-10.jsonl,217
